Tempo,Corrente1,Corrente2,Corrente3,Tensão Bateria,PWM1,PWM2,PWM3,
Segundos,A,A,A,V,Microssec,Microssec,Microssec,
1005,-0.024,0.004,0.018,0.00,1,9010,9,
1770,-0.010,-0.008,0.001,0.00,711,9002,9015,
2417,-0.015,-0.007,0.009,0.02,999,9016,9016,
3039,-0.022,-0.005,0.006,0.00,726,8999,8999,
3663,-0.015,-0.005,0.016,0.02,893,9008,8992,
4289,-0.022,-0.013,-0.009,0.00,747,9021,8999,
4911,0.000,-0.014,0.024,0.00,972,9006,9020,
5529,-0.002,-0.015,-0.005,0.06,766,9013,9000,
6149,-0.015,-0.017,0.008,0.04,925,9015,8978,
6770,-0.010,-0.014,-0.000,0.06,749,9004,8982,
7411,-0.009,-0.025,-0.000,0.00,676,8992,8990,
8033,-0.018,-0.003,0.007,0.00,766,9021,9013,
8658,-0.021,-0.019,0.002,0.02,730,9002,8992,
9281,-0.024,0.004,0.028,0.00,1018,9016,8987,
9905,-0.001,-0.014,0.022,0.00,931,9017,9002,
10530,-0.001,-0.000,0.001,0.00,986,8996,9004,
11154,-0.017,-0.013,0.025,0.00,797,9016,8999,
11781,-0.009,0.000,-0.001,0.00,910,9000,8995,
12420,-0.006,-0.013,0.019,0.00,806,9011,9002,
13044,-0.016,0.001,0.010,0.00,883,9029,9016,
13672,0.002,-0.014,0.007,0.00,911,9012,9016,
14298,-0.008,-0.009,0.011,0.02,968,9027,8986,
14927,-0.007,-0.004,0.027,0.01,893,9011,9003,
15559,0.005,-0.013,0.003,0.00,952,9000,8996,
16189,-0.012,-0.013,0.005,0.01,1082,9017,9006,
16817,-0.030,-0.005,0.010,0.06,1100,9015,9007,
17478,-0.007,-0.006,0.016,0.00,697,2,0,
18108,-0.013,-0.004,0.007,0.00,1,9007,9007,
18741,-0.004,-0.007,0.006,0.01,1,9015,9020,
19377,-0.001,0.000,-0.008,0.00,1,0,10448,
20012,-0.020,-0.009,0.002,0.00,1,0,1,
20651,-0.006,0.002,0.013,0.00,1,0,1,
21283,-0.010,0.004,0.014,0.00,1,8881,1,
21917,-0.010,-0.002,0.016,0.00,1,1,7706,
22588,-0.002,-0.007,0.004,0.00,1,0,7411,
23222,0.001,-0.015,0.024,0.00,1,0,7410,
23860,0.001,-0.002,0.003,0.00,2,1,1,
24495,-0.013,-0.005,0.019,0.00,1,8941,7372,
25130,-0.008,-0.009,-0.009,0.00,1,8953,1,
25766,-0.019,-0.017,0.012,0.00,1,1,1,
26400,-0.009,0.011,0.025,0.00,1,1,14,
27034,-0.008,0.011,0.007,0.00,1,1,22,
27697,0.002,-0.009,-0.008,0.00,1,1,6,
28318,-0.025,0.007,0.020,0.00,1,0,1,
28939,-0.017,-0.008,0.007,0.00,1,0,1,
29559,-0.002,-0.012,0.012,0.00,1,8986,1,
30174,-0.011,-0.009,0.013,0.00,1,2,6,
30792,-0.006,-0.011,0.019,0.00,1,1,6,
31408,-0.015,-0.008,0.027,0.00,1,1,6,
32023,-0.001,0.003,0.014,0.00,1,1,12,
32668,0.012,0.003,0.004,0.00,1,1,6,
33281,-0.012,-0.014,0.007,0.00,1,1,6,
33899,-0.001,0.012,0.003,0.00,1,1,6,
34538,-0.007,0.001,0.019,0.00,1,1,6,
35172,-0.010,0.016,0.000,0.00,1,1,6,
