Tempo	WOW	HP	VCAS	PTstatic	PTtotal	RPM	XGPS	YGPS	ZGPS	RPME	Taxa de giro em X	Taxa de giro em Y	Taxa de giro em Z	Aceleração em X	Aceleração em Y	Aceleração em Z	Pitch	Roll	Pressao estática	Pressao total	Temperatura	Densidade do ar	Altitude relativa	Tempo GPS	Latitude	Longitude	Direção de curso	Velocidade GPS	Nivel de fixação GPS	Pressao Dinamica	Wow raw	Distância	Distancia referência	
seg	bit	ft	m/s	PA	PA	rpm	m	m	m	Rpd	º/s	º/s	º/s	g	g	g	º	º	PA	PA	ºC	Kg/m³	m	-	º	º	º	m/s	-	PA	bit	cm	cm	
53038.4900	1	-27.958	14.7421	101427.399	101559.752	15.898	0	0	0	0.000	-2.79	-3.34	-0.47	-0.18	0.23	0.96	13.40	10.32	101427.399	101559.752	25.601	1.183	-0.224	None	0.000000	0.000000	0	0	1	132.353	1	50	0	
53038.5152	1	-27.958	7.8214	101427.399	101559.752	15.898	0	0	0	0.000	-2.85	-3.25	-0.32	-0.18	0.23	0.96	13.41	10.36	101427.399	101559.752	25.601	1.183	-0.224	None	0.000000	0.000000	0	0	1	37.255	1	50	0	
53038.5618	1	-27.958	7.8214	101427.399	101559.752	19.860	0	0	0	0.000	-2.87	-3.37	-0.32	-0.17	0.23	0.96	13.32	10.02	101427.399	101559.752	25.601	1.183	-0.224	None	0.000000	0.000000	0	0	1	37.255	1	50	0	
53038.5915	1	-27.958	7.8214	101427.399	101559.752	19.860	0	0	0	0.000	-2.85	-3.44	-0.27	-0.18	0.23	0.96	13.48	10.12	101427.399	101559.752	25.601	1.183	-0.224	None	0.000000	0.000000	0	0	1	37.255	1	50	0	
53038.6185	1	-28.114	7.8214	101427.968	101465.223	19.860	0	0	0	0.000	-3.05	-3.33	-0.27	-0.18	0.23	0.96	13.38	10.18	101427.968	101465.223	25.604	1.183	-0.271	None	0.000000	0.000000	0	0	1	37.255	1	50	0	
53038.6454	1	-28.114	7.8214	101427.968	101465.223	19.860	0	0	0	0.000	-2.87	-3.28	-0.20	-0.17	0.23	0.96	13.54	10.02	101427.968	101465.223	25.604	1.183	-0.271	None	0.000000	0.000000	0	0	1	37.255	1	50	0	
53038.6724	1	-28.114	7.8214	101427.968	101465.223	19.860	0	0	0	0.000	-3.02	-3.19	-0.23	-0.18	0.23	0.95	13.44	10.20	101427.968	101465.223	25.604	1.183	-0.271	None	0.000000	0.000000	0	0	1	37.255	1	50	0	
53038.6994	1	-28.114	7.8214	101427.968	101465.223	19.860	0	0	0	0.000	-2.82	-3.39	-0.20	-0.18	0.23	0.96	13.39	10.27	101427.968	101465.223	25.604	1.183	-0.271	None	0.000000	0.000000	0	0	1	37.255	1	50	0	
53038.7262	1	-27.682	7.8214	101426.386	101463.641	19.860	0	0	0	0.000	-2.93	-3.16	-0.24	-0.18	0.23	0.97	12.94	10.16	101426.386	101463.641	25.607	1.183	-0.140	None	0.000000	0.000000	0	0	1	37.255	1	50	0	
53038.7548	1	-27.682	16.4943	101426.386	101463.641	19.860	0	0	0	0.000	-2.85	-3.36	-0.32	-0.17	0.23	0.96	13.40	9.75	101426.386	101463.641	25.607	1.183	-0.140	None	0.000000	0.000000	0	0	1	165.686	1	50	0	
53038.7818	1	-27.682	16.4943	101426.386	101463.641	19.860	0	0	0	0.000	-2.92	-3.36	-0.37	-0.18	0.23	0.95	13.53	10.30	101426.386	101463.641	25.607	1.183	-0.140	None	0.000000	0.000000	0	0	1	165.686	1	50	0	
53038.8087	1	-27.682	16.4943	101426.386	101463.641	19.860	0	0	0	0.000	-2.84	-3.18	-0.31	-0.18	0.23	0.96	13.35	10.08	101426.386	101463.641	25.607	1.183	-0.140	None	0.000000	0.000000	0	0	1	165.686	1	50	0	
53038.8359	1	-27.682	16.4943	101426.386	101463.641	19.860	0	0	0	0.000	-2.63	-3.44	-0.32	-0.17	0.22	0.96	12.95	10.07	101426.386	101463.641	25.607	1.183	-0.140	None	0.000000	0.000000	0	0	1	165.686	1	50	0	
53038.8636	1	-28.069	16.4943	101427.805	101593.492	19.860	0	0	0	0.000	-2.90	-3.48	-0.32	-0.17	0.23	0.96	13.20	9.93	101427.805	101593.492	25.605	1.183	-0.258	None	0.000000	0.000000	0	0	1	165.686	1	50	0	
53038.8906	1	-28.069	16.4943	101427.805	101593.492	19.860	0	0	0	0.000	-2.96	-3.39	-0.31	-0.17	0.23	0.96	13.29	9.81	101427.805	101593.492	25.605	1.183	-0.258	None	0.000000	0.000000	0	0	1	165.686	1	50	0	
53038.9176	1	-28.069	16.4943	101427.805	101593.492	19.860	0	0	0	0.000	-2.73	-3.34	-0.37	-0.17	0.23	0.97	13.30	9.99	101427.805	101593.492	25.605	1.183	-0.258	None	0.000000	0.000000	0	0	1	165.686	1	50	0	
53038.9445	1	-28.069	16.4943	101427.805	101593.492	19.860	0	0	0	0.000	-2.72	-3.34	-0.26	-0.18	0.23	0.95	13.30	10.12	101427.805	101593.492	25.605	1.183	-0.258	None	0.000000	0.000000	0	0	1	165.686	1	50	0	
53038.9839	1	-28.069	11.4191	101427.805	101593.492	19.860	0	0	0	0.000	-2.87	-3.33	-0.24	-0.18	0.23	0.96	13.43	10.18	101427.805	101593.492	25.605	1.183	-0.258	None	0.000000	0.000000	0	0	1	79.412	1	50	0	
53039.0062	1	-28.005	11.4191	101427.570	101506.982	19.860	0	0	0	0.000	-2.85	-3.37	-0.15	-0.18	0.23	0.96	13.31	10.16	101427.570	101506.982	25.606	1.183	-0.238	None	0.000000	0.000000	0	0	1	79.412	1	50	0	
53039.0330	1	-28.005	11.4191	101427.570	101506.982	19.860	0	0	0	0.000	-2.92	-3.33	-0.27	-0.17	0.23	0.96	13.52	10.04	101427.570	101506.982	25.606	1.183	-0.238	None	0.000000	0.000000	0	0	1	79.412	1	50	0	
53039.0602	1	-28.005	11.4191	101427.570	101506.982	19.860	0	0	0	0.000	-2.92	-3.36	-0.24	-0.18	0.23	0.95	13.26	10.13	101427.570	101506.982	25.606	1.183	-0.238	None	0.000000	0.000000	0	0	1	79.412	1	50	0	
53039.0914	1	-28.005	11.4191	101427.570	101506.982	19.860	0	0	0	0.000	-2.78	-3.42	-0.31	-0.18	0.23	0.96	13.37	10.33	101427.570	101506.982	25.606	1.183	-0.238	None	0.000000	0.000000	0	0	1	79.412	1	50	0	
53039.1325	1	-27.619	11.4191	101426.156	101505.567	19.860	0	0	0	0.000	-2.76	-3.51	-0.34	-0.18	0.23	0.96	13.16	10.32	101426.156	101505.567	25.605	1.183	-0.121	None	0.000000	0.000000	0	0	1	79.412	1	50	0	
53039.1549	1	-27.619	11.4191	101426.156	101505.567	16.298	0	0	0	0.000	-2.92	-3.40	-0.26	-0.18	0.23	0.96	13.13	10.27	101426.156	101505.567	25.605	1.183	-0.121	None	0.000000	0.000000	0	0	1	79.412	1	50	0	
53039.1800	1	-27.619	16.7846	101426.156	101505.567	16.298	0	0	0	0.000	-2.92	-3.24	-0.38	-0.17	0.23	0.97	13.22	9.89	101426.156	101505.567	25.605	1.183	-0.121	None	0.000000	0.000000	0	0	1	171.569	1	50	0	
53039.2180	1	-27.619	16.7846	101426.156	101505.567	16.298	0	0	0	0.000	-2.95	-3.22	-0.18	-0.18	0.23	0.96	13.02	10.09	101426.156	101505.567	25.605	1.183	-0.121	None	0.000000	0.000000	0	0	1	171.569	1	50	0	
53039.2402	1	-27.619	16.7846	101426.156	101505.567	16.298	0	0	0	0.000	-2.95	-3.44	-0.11	-0.18	0.23	0.96	13.34	10.31	101426.156	101505.567	25.605	1.183	-0.121	None	0.000000	0.000000	0	0	1	171.569	1	50	0	
53039.2647	1	-27.925	16.7846	101427.276	101598.845	16.298	0	0	0	0.000	-2.81	-3.53	-0.34	-0.18	0.23	0.96	13.10	10.23	101427.276	101598.845	25.610	1.183	-0.214	None	0.000000	0.000000	0	0	1	171.569	1	50	0	
53039.2880	1	-27.925	16.7846	101427.276	101598.845	16.298	0	0	0	0.000	-2.84	-3.24	-0.31	-0.18	0.23	0.96	13.37	10.09	101427.276	101598.845	25.610	1.183	-0.214	None	0.000000	0.000000	0	0	1	171.569	1	50	0	
53039.3151	1	-27.925	16.7846	101427.276	101598.845	16.298	0	0	0	0.000	-2.70	-3.47	-0.35	-0.18	0.23	0.96	13.09	10.31	101427.276	101598.845	25.610	1.183	-0.214	None	0.000000	0.000000	0	0	1	171.569	1	50	0	
53039.3421	1	-27.925	16.7846	101427.276	101598.845	16.298	0	0	0	0.000	-2.75	-3.10	-0.37	-0.18	0.23	0.96	13.22	10.21	101427.276	101598.845	25.610	1.183	-0.214	None	0.000000	0.000000	0	0	1	171.569	1	50	0	
53039.3690	1	-27.925	16.7846	101427.276	101598.845	16.298	0	0	0	0.000	-2.96	-3.16	-0.27	-0.18	0.24	0.97	13.43	10.11	101427.276	101598.845	25.610	1.183	-0.214	None	0.000000	0.000000	0	0	1	171.569	1	50	0	
53039.3962	1	-27.905	15.0661	101427.204	101598.772	16.298	0	0	0	0.000	-2.87	-3.25	-0.31	-0.17	0.23	0.96	13.30	9.95	101427.204	101598.772	25.607	1.183	-0.208	None	0.000000	0.000000	0	0	1	138.235	1	50	0	
53039.4509	1	-27.905	15.0661	101427.204	101598.772	16.298	0	0	0	0.000	-2.93	-3.44	-0.38	-0.17	0.23	0.96	13.29	9.99	101427.204	101598.772	25.607	1.183	-0.208	None	0.000000	0.000000	0	0	1	138.235	1	50	0	
53039.4809	1	-27.905	15.0661	101427.204	101598.772	16.298	0	0	0	0.000	-2.81	-3.40	-0.26	-0.18	0.23	0.96	13.41	10.14	101427.204	101598.772	25.607	1.183	-0.208	None	0.000000	0.000000	0	0	1	138.235	1	50	0	
53039.5120	1	-27.905	15.0661	101427.204	101598.772	16.298	0	0	0	0.000	-2.84	-3.22	-0.24	-0.17	0.23	0.95	13.21	10.07	101427.204	101598.772	25.607	1.183	-0.208	None	0.000000	0.000000	0	0	1	138.235	1	50	0	
53039.5441	1	-27.734	15.0661	101426.578	101564.813	16.298	0	0	0	0.000	-2.76	-3.37	-0.15	-0.17	0.23	0.96	13.03	9.99	101426.578	101564.813	25.609	1.183	-0.156	None	0.000000	0.000000	0	0	1	138.235	1	50	0	
53039.5713	1	-27.734	15.0661	101426.578	101564.813	16.298	0	0	0	0.000	-2.89	-3.48	-0.23	-0.18	0.22	0.96	12.91	10.07	101426.578	101564.813	25.609	1.183	-0.156	None	0.000000	0.000000	0	0	1	138.235	1	50	0	
53039.5985	1	-27.734	15.0661	101426.578	101564.813	16.298	0	0	0	0.000	-2.93	-3.10	-0.37	-0.18	0.22	0.96	12.88	10.07	101426.578	101564.813	25.609	1.183	-0.156	None	0.000000	0.000000	0	0	1	138.235	1	50	0	
53039.6241	1	-27.734	15.4876	101426.578	101564.813	16.298	0	0	0	0.000	-2.96	-3.34	-0.40	-0.18	0.23	0.96	13.35	10.14	101426.578	101564.813	25.609	1.183	-0.156	None	0.000000	0.000000	0	0	1	146.078	1	50	0	
53039.6956	1	-28.077	15.4876	101427.834	101573.912	16.298	0	0	0	0.000	-2.82	-3.45	-0.32	-0.18	0.23	0.96	13.29	10.52	101427.834	101573.912	25.608	1.183	-0.260	None	0.000000	0.000000	0	0	1	146.078	1	50	0	
53039.7179	1	-28.077	15.4876	101427.834	101573.912	20.693	0	0	0	0.000	-2.81	-3.40	-0.26	-0.17	0.23	0.96	13.31	9.86	101427.834	101573.912	25.608	1.183	-0.260	None	0.000000	0.000000	0	0	1	146.078	1	50	0	
53039.7401	1	-28.077	15.4876	101427.834	101573.912	20.693	0	0	0	0.000	-2.76	-3.15	-0.26	-0.18	0.23	0.96	13.31	10.40	101427.834	101573.912	25.608	1.183	-0.260	None	0.000000	0.000000	0	0	1	146.078	1	50	0	
53039.7662	1	-28.077	15.4876	101427.834	101573.912	20.693	0	0	0	0.000	-2.84	-3.31	-0.29	-0.18	0.23	0.95	13.48	10.32	101427.834	101573.912	25.608	1.183	-0.260	None	0.000000	0.000000	0	0	1	146.078	1	50	0	
53039.7934	1	-28.077	15.4876	101427.834	101573.912	20.693	0	0	0	0.000	-2.90	-3.27	-0.23	-0.18	0.23	0.96	13.29	10.14	101427.834	101573.912	25.608	1.183	-0.260	None	0.000000	0.000000	0	0	1	146.078	1	50	0	
53039.8206	1	-27.635	15.4876	101426.213	101572.291	20.693	0	0	0	0.000	-3.02	-3.15	-0.35	-0.17	0.23	0.96	13.41	10.01	101426.213	101572.291	25.610	1.183	-0.125	None	0.000000	0.000000	0	0	1	146.078	1	50	0	
53039.8513	1	-27.635	20.6545	101426.213	101572.291	20.693	0	0	0	0.000	-2.85	-3.34	-0.26	-0.17	0.23	0.95	13.38	10.11	101426.213	101572.291	25.610	1.183	-0.125	None	0.000000	0.000000	0	0	1	259.804	1	50	0	
53039.8859	1	-27.635	20.6545	101426.213	101572.291	20.693	0	0	0	0.000	-2.92	-3.39	-0.34	-0.17	0.23	0.96	13.51	9.91	101426.213	101572.291	25.610	1.183	-0.125	None	0.000000	0.000000	0	0	1	259.804	1	50	0	
53039.9167	1	-27.635	20.6545	101426.213	101572.291	20.693	0	0	0	0.000	-2.81	-3.44	-0.44	-0.17	0.23	0.96	13.40	10.02	101426.213	101572.291	25.610	1.183	-0.125	None	0.000000	0.000000	0	0	1	259.804	1	50	0	
53039.9402	1	-28.174	20.6545	101428.189	101687.993	20.693	0	0	0	0.000	-2.89	-3.36	-0.44	-0.18	0.23	0.96	13.33	10.24	101428.189	101687.993	25.610	1.183	-0.290	None	0.000000	0.000000	0	0	1	259.804	1	50	0	
53039.9667	1	-28.174	20.6545	101428.189	101687.993	20.693	0	0	0	0.000	-2.81	-3.27	-0.35	-0.18	0.23	0.96	13.44	10.19	101428.189	101687.993	25.610	1.183	-0.290	None	0.000000	0.000000	0	0	1	259.804	1	50	0	
53039.9953	1	-28.174	20.6545	101428.189	101687.993	20.693	0	0	0	0.000	-2.67	-3.40	-0.35	-0.18	0.23	0.96	13.34	10.23	101428.189	101687.993	25.610	1.183	-0.290	None	0.000000	0.000000	0	0	1	259.804	1	50	0	
53040.0225	1	-28.174	20.6545	101428.189	101687.993	20.693	0	0	0	0.000	-3.02	-3.56	-0.31	-0.18	0.23	0.96	13.48	10.23	101428.189	101687.993	25.610	1.183	-0.290	None	0.000000	0.000000	0	0	1	259.804	1	50	0	
53040.0502	1	-28.174	20.6545	101428.189	101687.993	20.693	0	0	0	0.000	-2.95	-3.53	-0.21	-0.18	0.23	0.96	13.09	10.24	101428.189	101687.993	25.610	1.183	-0.290	None	0.000000	0.000000	0	0	1	259.804	1	50	0	
