Tempo	WOW	HP	VCAS	PTstatic	PTtotal	RPM	XGPS	YGPS	ZGPS	RPME	Taxa de giro em X	Taxa de giro em Y	Taxa de giro em Z	Aceleração em X	Aceleração em Y	Aceleração em Z	Pitch	Roll	Pressao estática	Pressao total	Temperatura	Densidade do ar	Altitude relativa	Tempo GPS	Latitude	Longitude	Direção de curso	Velocidade GPS	Nivel de fixação GPS	Pressao Dinamica	Wow raw	Distância	Distancia referência	Mensagem	
seg	bit	ft	m/s	PA	PA	rpm	m	m	m	Rpd	º/s	º/s	º/s	g	g	g	º	º	PA	PA	ºC	Kg/m³	m	-	º	º	º	m/s	-	PA	bit	cm	cm	str	
666.2524	1	58.217	3.3569	101112.044	101118.907	3.108	8.47	-62.53	11.25	1.269	-3.21	-3.31	-0.37	-0.96	-0.05	-0.05	-2.77	85.79	101112.044	101118.907	20.781	1.198	-0.680	2017-06-09T03:11:04.000Z	-27.602166	-48.517639	51.1	0.07	2	6.863	1	50	0	@t#c%$0#1$	
666.2885	1	58.217	3.3569	101112.044	101118.907	3.108	8.47	-62.53	11.25	1.269	-3.39	-3.36	-0.40	-0.96	-0.05	-0.06	-3.09	85.42	101112.044	101118.907	20.781	1.198	-0.680	2017-06-09T03:11:04.000Z	-27.602166	-48.517639	51.1	0.07	2	6.863	1	50	0	@t#c%$0#1$	
666.3130	1	58.217	3.3569	101112.044	101118.907	3.108	8.47	-62.53	11.25	1.269	-3.39	-3.36	-0.40	-0.96	-0.05	-0.06	-3.09	85.42	101112.044	101118.907	20.781	1.198	-0.680	2017-06-09T03:11:04.000Z	-27.602166	-48.517639	51.1	0.07	2	6.863	1	50	0	@t#c%$0#1$	
666.3349	1	58.566	3.3569	101110.769	101117.632	3.108	8.47	-62.53	11.25	1.269	-3.25	-3.22	-0.27	-0.97	-0.03	-0.06	-1.73	85.97	101110.769	101117.632	20.780	1.198	-0.574	2017-06-09T03:11:04.000Z	-27.602166	-48.517639	51.1	0.07	2	6.863	1	50	0	@t#c%$0#1$	
666.3571	1	58.566	3.3569	101110.769	101117.632	3.108	8.47	-62.53	11.25	1.269	-3.25	-3.22	-0.27	-0.97	-0.03	-0.06	-1.73	85.97	101110.769	101117.632	20.780	1.198	-0.574	2017-06-09T03:11:04.000Z	-27.602166	-48.517639	51.1	0.07	2	6.863	1	50	0	@t#c%$0#1$	
666.3917	1	58.566	3.3569	101110.769	101117.632	3.108	8.47	-62.53	11.25	1.269	-3.15	-3.11	-0.27	-0.97	-0.05	-0.05	-2.84	85.70	101110.769	101117.632	20.780	1.198	-0.574	2017-06-09T03:11:04.000Z	-27.602166	-48.517639	51.1	0.07	2	6.863	1	50	0	@t#c%$0#1$	
666.4136	1	58.566	3.3569	101110.769	101117.632	3.108	8.47	-62.53	11.25	1.269	-3.39	-3.15	-0.34	-0.97	-0.03	-0.06	-2.05	85.97	101110.769	101117.632	20.780	1.198	-0.574	2017-06-09T03:11:04.000Z	-27.602166	-48.517639	51.1	0.07	2	6.863	1	50	0	@t#c%$0#1$	
666.4403	1	58.566	3.3569	101110.769	101117.632	3.108	8.47	-62.53	11.25	1.269	-3.47	-3.22	-0.32	-0.97	-0.04	-0.06	-2.08	85.76	101110.769	101117.632	20.780	1.198	-0.574	2017-06-09T03:11:04.000Z	-27.602166	-48.517639	51.1	0.07	2	6.863	1	50	0	@t#c%$0#1$	
666.4659	1	58.357	3.3569	101111.535	101118.398	3.108	8.47	-62.53	11.25	1.269	-3.47	-3.22	-0.32	-0.97	-0.04	-0.06	-2.08	85.76	101111.535	101118.398	20.779	1.198	-0.638	2017-06-09T03:11:04.000Z	-27.602166	-48.517639	51.1	0.07	2	6.863	1	50	0	@t#c%$0#1$	
666.4878	1	58.357	3.3569	101111.535	101118.398	3.108	8.47	-62.53	11.25	1.269	-3.33	-3.11	-0.20	-0.97	-0.03	-0.06	-1.55	86.30	101111.535	101118.398	20.779	1.198	-0.638	2017-06-09T03:11:04.000Z	-27.602166	-48.517639	51.1	0.07	2	6.863	1	50	0	@t#c%$0#1$	
666.5144	1	58.357	3.3569	101111.535	101118.398	3.108	8.47	-62.53	11.25	1.269	-3.31	-3.45	-0.40	-0.97	-0.04	-0.06	-2.10	86.10	101111.535	101118.398	20.779	1.198	-0.638	2017-06-09T03:11:04.000Z	-27.602166	-48.517639	51.1	0.07	2	6.863	1	50	0	@t#c%$0#1$	
666.5363	1	58.357	3.3569	101111.535	101118.398	3.108	8.47	-62.53	11.25	1.269	-3.31	-3.45	-0.40	-0.97	-0.04	-0.06	-2.10	86.10	101111.535	101118.398	20.779	1.198	-0.638	2017-06-09T03:11:04.000Z	-27.602166	-48.517639	51.1	0.07	2	6.863	1	50	0	@t#c%$0#1$	
666.5581	1	58.357	3.3569	101111.535	101118.398	3.108	8.47	-62.53	11.25	1.269	-3.33	-3.11	-0.31	-0.97	-0.03	-0.06	-1.73	86.11	101111.535	101118.398	20.779	1.198	-0.638	2017-06-09T03:11:04.000Z	-27.602166	-48.517639	51.1	0.07	2	6.863	1	50	0	@t#c%$0#1$	
