Tempo	WOW	HP	VCAS	PTstatic	PTtotal	RPM	XGPS	YGPS	ZGPS	RPME	Taxa de giro em X	Taxa de giro em Y	Taxa de giro em Z	Aceleração em X	Aceleração em Y	Aceleração em Z	Pitch	Roll	Pressao estática	Pressao total	Temperatura	Densidade do ar	Altitude relativa	Tempo GPS	Latitude	Longitude	Direção de curso	Velocidade GPS	Nivel de fixação GPS	Pressao Dinamica	Wow raw	Distância	Distancia referência	Corrente1	Corrente2	Corrente3	Tensão Bateria	PWM1	PWM2	PWM3	Mensagem	
seg	bit	ft	m/s	PA	PA	rpm	m	m	m	Rpd	º/s	º/s	º/s	g	g	g	º	º	PA	PA	ºC	Kg/m³	m	-	º	º	º	m/s	-	PA	bit	cm	cm	A	A	A	V	Microssec	Microssec	Microssec	str	
52454.1004	0	-285.501	0.0000	102374.610	102374.610	0.000	0	0	0	2.837	-3.86	-3.01	-0.47	1.00	0.18	0.13	10.21	-77.33	102374.610	102374.610	25.166	1.196	-0.071		0.000000	0.000000	0	0	1	0	0	0	0	-0.016	0.002	0.012	0.00	8781	1507	1509	@t#c%$0#1$	
52454.1492	0	-285.525	0.0000	102374.701	102374.701	0.000	0	0	0	2.837	-3.86	-3.01	-0.47	1.00	0.18	0.13	10.21	-77.33	102374.701	102374.701	25.165	1.196	-0.079		0.000000	0.000000	0	0	1	0	0	0	0	-0.016	0.002	0.012	0.00	8781	1507	1509	@t#c%$0#1$	
52454.1717	0	-285.525	0.0000	102374.701	102374.701	0.000	0	0	0	7.398	-3.40	-3.42	-0.69	1.00	0.19	0.13	10.49	-77.30	102374.701	102374.701	25.165	1.196	-0.079		0.000000	0.000000	0	0	1	0	0	0	0	-0.014	-0.011	0.009	0.00	0	1514	1514	@t#c%$0#1$	
52454.1941	0	-285.525	0.0000	102374.701	102374.701	0.000	0	0	0	7.398	-3.40	-3.42	-0.69	1.00	0.19	0.13	10.49	-77.30	102374.701	102374.701	25.165	1.196	-0.079		0.000000	0.000000	0	0	1	0	0	0	0	-0.014	-0.011	0.009	0.00	0	1514	1514	@t#c%$0#1$	
52454.2164	0	-285.525	0.0000	102374.701	102374.701	0.000	0	0	0	7.398	-3.40	-3.42	-0.69	1.00	0.19	0.13	10.49	-77.30	102374.701	102374.701	25.165	1.196	-0.079		0.000000	0.000000	0	0	1	0	0	0	0	-0.014	-0.011	0.009	0.00	0	1514	1514	@t#c%$0#1$	
52454.2460	0	-285.160	0.0000	102373.352	102373.352	0.000	0	0	0	7.398	-3.48	-3.48	-0.43	0.99	0.19	0.13	10.88	-76.85	102373.352	102373.352	25.166	1.196	0.032		0.000000	0.000000	0	0	1	0	0	0	0	-0.014	-0.011	0.009	0.00	0	1514	1514	@t#c%$0#1$	
52454.2685	0	-285.160	0.0000	102373.352	102373.352	0.000	0	0	0	7.398	-3.48	-3.48	-0.43	0.99	0.19	0.13	10.88	-76.85	102373.352	102373.352	25.166	1.196	0.032		0.000000	0.000000	0	0	1	0	0	0	0	-0.014	-0.011	0.009	0.00	0	1514	1514	@t#c%$0#1$	
52454.2908	0	-285.160	0.0000	102373.352	102373.352	0.000	0	0	0	7.398	-3.60	-3.39	-0.53	1.00	0.19	0.14	10.42	-76.94	102373.352	102373.352	25.166	1.196	0.032		0.000000	0.000000	0	0	1	0	0	0	0	-0.014	-0.011	0.009	0.00	0	1514	1514	@t#c%$0#1$	
52454.3183	0	-285.160	0.0000	102373.352	102373.352	0.000	0	0	0	7.398	-3.60	-3.39	-0.53	1.00	0.19	0.14	10.42	-76.94	102373.352	102373.352	25.166	1.196	0.032		0.000000	0.000000	0	0	1	0	0	0	0	-0.014	-0.011	0.009	0.00	0	1514	1514	@t#c%$0#1$	
