Tempo,Item,Taxa de giro em X,Taxa de giro em Y,Taxa de giro em Z,Aceleração em Z,Pitch,Roll,
Segundos,it,º/s,º/s,º/s,g,º,º,
6,1,0,0,0,1.000,0,0,
11,2,0,0,0,1.002,0,0,
16,3,0,0,0,1.002,0,0,
21,4,0,0,0,0.998,0,0,
26,5,0,0,0,0.876,0,0,
30,6,0,0,0,1.006,0,0,
35,7,0,0,0,0.998,0,0,
40,8,0,0,0,0.992,0,0,
44,9,0,0,0,0.992,0,0,
49,10,0,0,0,1.003,0,0,
53,11,0,0,0,0.998,0,0,
58,12,0,0,0,1.121,0,0,
63,13,0,0,0,1.003,0,0,
67,14,0,0,0,0.998,0,0,
72,15,0,0,0,0.998,0,0,
77,16,0,0,0,1.000,0,0,
82,17,0,0,0,1.001,0,0,
86,18,0,0,0,1.006,0,0,
91,19,0,0,0,0.877,0,0,
96,20,0,0,0,0.991,0,0,
101,21,0,0,0,1.000,0,0,
105,22,0,0,0,1.001,0,0,
110,23,0,0,0,1.000,0,0,
115,24,0,0,0,1.115,0,0,
120,25,0,0,0,1.005,0,0,
124,26,0,0,0,0.880,0,0,
129,27,0,0,0,0.997,0,0,
134,28,0,0,0,1.000,0,0,
139,29,0,0,0,0.997,0,0,
143,30,0,0,0,0.999,0,0,
148,31,0,0,0,1.005,0,0,
152,32,0,0,0,0.875,0,0,
157,33,0,0,0,1.005,0,0,
162,34,0,0,0,0.994,0,0,
166,35,0,0,0,0.990,0,0,
171,36,0,0,0,1.003,0,0,
175,37,0,0,0,0.999,0,0,
181,38,0,0,0,1.120,0,0,
185,39,0,0,0,1.002,0,0,
190,40,0,0,0,0.998,0,0,
195,41,0,0,0,1.012,0,0,
199,42,0,0,0,1.001,0,0,
204,43,0,0,0,1.124,0,0,
208,44,0,0,0,1.004,0,0,
213,45,0,0,0,1.001,0,0,
218,46,0,0,0,1.005,0,0,
223,47,0,0,0,0.879,0,0,
227,48,0,0,0,0.993,0,0,
232,49,0,0,0,1.003,0,0,
237,50,0,0,0,0.990,0,0,
242,51,0,0,0,0.996,0,0,
246,52,0,0,0,1.000,0,0,
251,53,0,0,0,1.008,0,0,
255,54,0,0,0,0.998,0,0,
260,55,0,0,0,1.001,0,0,
265,56,0,0,0,1.006,0,0,
270,57,0,0,0,1.001,0,0,
274,58,0,0,0,0.996,0,0,
279,59,0,0,0,0.875,0,0,
284,60,0,0,0,0.878,0,0,
289,61,0,0,0,1.004,0,0,
294,62,0,0,0,0.994,0,0,
298,63,0,0,0,1.123,0,0,
303,64,0,0,0,0.991,0,0,
307,65,0,0,0,0.878,0,0,
312,66,0,0,0,0.990,0,0,
317,67,0,0,0,0.999,0,0,
328,68,0,0,0,1.002,0,0,
333,69,0,0,0,0.997,0,0,
338,70,0,0,0,0.997,0,0,
343,71,0,0,0,1.004,0,0,
347,72,0,0,0,0.995,0,0,
352,73,0,0,0,1.001,0,0,
356,74,0,0,0,1.123,0,0,
361,75,0,0,0,0.999,0,0,
366,76,0,0,0,1.122,0,0,
370,77,0,0,0,1.002,0,0,
375,78,0,0,0,0.881,0,0,
379,79,0,0,0,0.997,0,0,
384,80,0,0,0,1.006,0,0,
389,81,0,0,0,0.999,0,0,
394,82,0,0,0,1.006,0,0,
399,83,0,0,0,0.989,0,0,
403,84,0,0,0,1.001,0,0,
408,85,0,0,0,1.117,0,0,
412,86,0,0,0,1.004,0,0,
417,87,0,0,0,0.999,0,0,
422,88,0,0,0,1.006,0,0,
426,89,0,0,0,1.000,0,0,
431,90,0,0,0,1.005,0,0,
436,91,0,0,0,1.003,0,0,
441,92,0,0,0,0.877,0,0,
446,93,0,0,0,1.001,0,0,
450,94,0,0,0,0.997,0,0,
455,95,0,0,0,0.875,0,0,
459,96,0,0,0,1.001,0,0,
464,97,0,0,0,0.997,0,0,
469,98,0,0,0,1.000,0,0,
473,99,0,0,0,0.875,0,0,
478,100,0,0,0,1.000,0,0,
483,101,0,0,0,1.002,0,0,
488,102,0,0,0,1.002,0,0,
493,103,0,0,0,0.994,0,0,
497,104,0,0,0,1.122,0,0,
502,105,0,0,0,1.002,0,0,
506,106,0,0,0,0.997,0,0,
511,107,0,0,0,0.999,0,0,
516,108,0,0,0,1.002,0,0,
520,109,0,0,0,1.124,0,0,
525,110,0,0,0,0.997,0,0,
529,111,0,0,0,1.006,0,0,
534,112,0,0,0,1.123,0,0,
539,113,0,0,0,1.005,0,0,
544,114,0,0,0,1.005,0,0,
549,115,0,0,0,1.008,0,0,
553,116,0,0,0,1.002,0,0,
558,117,0,0,0,0.994,0,0,
563,118,0,0,0,1.002,0,0,
567,119,0,0,0,1.006,0,0,
572,120,0,0,0,1.123,0,0,
576,121,0,0,0,1.005,0,0,
581,122,0,0,0,0.996,0,0,
586,123,0,0,0,1.006,0,0,
591,124,0,0,0,0.879,0,0,
596,125,0,0,0,1.121,0,0,
600,126,0,0,0,1.001,0,0,
605,127,0,0,0,1.000,0,0,
610,128,0,0,0,1.122,0,0,
614,129,0,0,0,1.006,0,0,
619,130,0,0,0,0.877,0,0,
623,131,0,0,0,0.997,0,0,
628,132,0,0,0,1.124,0,0,
632,133,0,0,0,0.997,0,0,
637,134,0,0,0,1.006,0,0,
642,135,0,0,0,0.875,0,0,
647,136,0,0,0,1.009,0,0,
652,137,0,0,0,0.995,0,0,
656,138,0,0,0,1.005,0,0,
661,139,0,0,0,1.122,0,0,
666,140,0,0,0,1.001,0,0,
670,141,0,0,0,0.998,0,0,
675,142,0,0,0,1.003,0,0,
679,143,0,0,0,1.003,0,0,
684,144,0,0,0,1.000,0,0,
689,145,0,0,0,1.000,0,0,
694,146,0,0,0,1.009,0,0,
699,147,0,0,0,0.878,0,0,
704,148,0,0,0,1.000,0,0,
709,149,0,0,0,0.999,0,0,
713,150,0,0,0,0.880,0,0,
718,151,0,0,0,0.990,0,0,
723,152,0,0,0,0.997,0,0,
727,153,0,0,0,1.000,0,0,
732,154,0,0,0,1.003,0,0,
737,155,0,0,0,1.000,0,0,
742,156,0,0,0,1.001,0,0,
747,157,0,0,0,0.999,0,0,
752,158,0,0,0,1.000,0,0,
757,159,0,0,0,0.997,0,0,
