Tempo,Corrente1,Corrente2,Corrente3,Tensão Bateria,PWM1,PWM2,PWM3,
Segundos,A,A,A,V,Microssec,Microssec,Microssec,
4,-0.001,0.001,-0.005,0.00,1,0,0
,
651,-0.001,0.001,-0.005,0.00,1,0,0
,
1757,-0.000,0.072,0.020,0.00,3,1514,1513,
2422,-0.017,0.055,0.009,0.00,4,1507,1507,
3052,0.009,0.073,0.026,0.00,4,1514,1514,
3681,-0.007,0.064,-0.000,0.00,1,1509,1514,
4310,-0.001,0.072,0.017,0.00,3,1515,1509,
4937,-0.014,-0.016,0.020,0.05,1,1515,1514,
5555,-0.012,0.046,0.004,0.00,1,1509,1507,
6173,-0.010,0.051,0.023,0.00,12,1515,1514,
6789,0.010,0.071,0.025,0.00,1,1509,1514,
7435,0.006,0.043,0.010,0.00,1,1514,1507,
8058,-0.012,-0.007,0.010,0.00,3,1514,1514,
8684,0.016,0.062,0.014,0.00,1,1509,1507,
9316,0.009,0.048,0.033,0.00,3,1514,1514,
9944,0.002,0.059,0.020,0.00,1,1507,1514,
10571,0.109,0.067,0.022,0.00,1,1516,1507,
11200,0.162,0.061,0.025,0.00,3,1526,1514,
11830,0.036,0.089,0.015,0.09,1,1704,1507,
12471,0.098,0.049,0.026,0.00,1,1778,1514,
13100,0.103,0.019,0.007,0.00,3,1914,1514,
13732,0.072,0.018,0.027,0.00,1,2040,1507,
14359,-0.007,0.001,0.009,0.00,3,2086,1514,
14988,-0.003,0.060,0.011,0.00,3,2086,1507,
15616,0.011,0.004,0.019,0.00,1,2086,1514,
16253,-0.006,0.036,0.016,0.00,11,2085,1514,
16899,-0.005,0.010,0.011,0.00,1,2085,1507,
17556,0.069,0.061,0.026,0.00,1,2044,1514,
18189,0.164,0.070,0.034,0.00,3,1967,1507,
18816,0.149,-0.001,0.052,0.13,1,1845,1514,
19453,0.044,0.075,0.025,0.00,4,1686,1514,
20082,0.341,0.058,0.059,0.19,4,1515,1507,
20707,0.075,0.056,0.021,0.00,1,1509,1514,
21330,-0.005,0.058,0.040,0.00,4,1510,1507,
21984,0.001,0.047,0.005,0.00,4,1514,1514,
22617,-0.008,0.075,0.027,0.00,1,1509,1453,
23234,0.026,0.146,0.034,0.00,3,1514,1372,
23850,0.011,0.180,0.034,0.11,1,1509,1268,
24467,0.002,0.151,0.027,0.00,1,1509,1141,
25084,0.020,0.152,0.029,0.00,4,1515,1142,
25701,-0.006,0.039,-0.004,0.00,1,1507,1211,
26339,0.016,0.122,0.033,0.07,3,1515,1280,
27007,0.006,0.125,0.035,0.00,4,1507,1384,
27644,0.028,0.142,0.002,0.00,1,1507,1457,
28282,0.039,0.116,0.026,0.08,3,1514,1514,
28920,0.004,0.072,0.032,0.00,1,1509,1507,
29557,-0.005,0.068,0.016,0.00,1,1514,1507,
30194,-0.015,0.071,0.030,0.00,3,1509,1513,
30819,0.005,0.093,0.021,0.00,1,1509,1507,
31448,0.015,0.093,0.005,0.00,3,1514,1514,
32097,0.014,0.078,0.032,0.00,6,1507,1507,
32721,-0.005,0.082,0.026,0.00,1,1514,1507,
33346,0.002,0.055,0.032,0.00,3,1509,1514,
33969,0.015,0.138,0.023,0.04,1,1509,1568,
34594,0.010,0.145,0.018,0.00,1,1514,1633,
35217,0.018,0.140,0.023,0.00,4,1507,1675,
35847,0.003,0.182,0.020,0.00,1,1515,1730,
36474,0.019,0.180,0.015,0.00,1,1507,1787,
37122,0.022,0.176,0.018,0.06,19,1507,1792,
37746,0.014,0.163,0.029,0.00,1,1514,1792,
38370,-0.010,0.049,0.017,0.01,4,1507,1750,
38994,0.015,0.114,0.005,0.08,20,1515,1658,
39619,0.018,0.132,0.025,0.00,1,1507,1614,
40242,0.012,0.136,0.037,0.00,11,1509,1515,
40868,-0.003,0.051,0.015,0.00,1,1514,1518,
41491,-0.005,0.076,0.014,0.00,1,1509,1510,
42135,-0.012,0.049,0.008,0.00,3,1515,1510,
42776,-0.018,0.001,0.013,0.00,1,1507,1553,
43417,0.017,0.137,0.026,0.02,4,1509,1629,
44057,0.019,0.144,0.040,0.00,3,1514,1708,
44702,0.016,0.145,0.018,0.00,1,1509,1754,
45341,0.012,0.140,0.023,0.00,3,1514,1792,
45981,0.058,0.144,0.026,0.06,20,1509,1797,
46626,0.013,0.148,0.023,0.00,1,1507,1792,
47278,0.026,0.156,0.029,0.00,4,1515,1792,
47922,-0.009,0.026,0.011,0.00,1,1507,1733,
48563,0.004,0.151,0.017,0.05,1,1514,1619,
49204,0.007,0.141,0.034,0.00,3,1507,1553,
49845,0.003,0.148,0.051,0.00,1,1514,1510,
50482,-0.008,0.094,0.023,0.02,1,1514,1516,
51101,0.012,0.065,0.025,0.00,3,1507,1510,
