Tempo,Tempo GPS,Item,Latitude,Longitude,Altitude,Direção de curso,Velocidade GPS,Velocidade de subida,Erro em X,Erro em Y,Erro da altitude,Erro de velocidade,Erro da velocidade de subida,Nivel de fixação GPS,Latitude de referência,Longitude de referência,Posição X,Posição Y,Distancia absoluta,
Segundos,-,it,º,º,m,º,nós,m/s,m,m,m,nós,m/s,-,-,-,m,m,m,
53,,1,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
236,,2,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
418,,3,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
600,,4,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
783,,5,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
969,,6,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
1167,,7,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
1348,,8,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
1528,,9,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
1709,,10,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
1893,,11,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
2073,,12,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
2255,,13,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
2438,,14,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
2636,,15,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
2818,,16,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
3000,,17,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
3182,,18,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
3369,,19,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
