Tempo	WOW	HP	VCAS	PTstatic	PTtotal	RPM	XGPS	YGPS	ZGPS	RPME	Taxa de giro em X	Taxa de giro em Y	Taxa de giro em Z	Aceleração em X	Aceleração em Y	Aceleração em Z	Pitch	Roll	Pressao estática	Pressao total	Temperatura	Densidade do ar	Altitude relativa	Tempo GPS	Latitude	Longitude	Direção de curso	Velocidade GPS	Nivel de fixação GPS	Pressao Dinamica	Wow raw	Distância	Distancia referência	
seg	bit	ft	m/s	PA	PA	rpm	m	m	m	Rpd	º/s	º/s	º/s	g	g	g	º	º	PA	PA	ºC	Kg/m³	m	-	º	º	º	m/s	-	PA	bit	cm	cm	
58679.7135	1	86.678	4.9140	101008.068	101022.774	0	0	0	0	0	-3.28	-3.25	-0.32	-0.02	-0.01	1.00	-0.34	1.09	101008.068	101022.774	26.803	1.173	0.035	2017-02-01T18:18:00.000Z	0.000000	0.000000	0	0	1	14.706	1	50	0	
58679.7162	1	86.678	4.9140	101008.068	101022.774	0	0	0	0	0	-3.28	-3.25	-0.32	-0.02	-0.01	1.00	-0.34	1.09	101008.068	101022.774	26.803	1.173	0.035	2017-02-01T18:18:00.000Z	0.000000	0.000000	0	0	1	14.706	1	50	0	
58679.7179	1	86.678	4.9140	101008.068	101022.774	0	0	0	0	0	-3.28	-3.25	-0.32	-0.02	-0.01	1.00	-0.34	1.09	101008.068	101022.774	26.803	1.173	0.035	2017-02-01T18:18:00.000Z	0.000000	0.000000	0	0	1	14.706	1	50	0	
58679.7202	1	86.678	4.9140	101008.068	101022.774	0	0	0	0	0	-3.28	-3.25	-0.32	-0.02	-0.01	1.00	-0.34	1.09	101008.068	101022.774	26.803	1.173	0.035	2017-02-01T18:18:00.000Z	0.000000	0.000000	0	0	1	14.706	1	50	0	
58679.7217	1	86.678	4.9140	101008.068	101022.774	0	0	0	0	0	-3.28	-3.25	-0.32	-0.02	-0.01	1.00	-0.34	1.09	101008.068	101022.774	26.803	1.173	0.035	2017-02-01T18:18:00.000Z	0.000000	0.000000	0	0	1	14.706	1	50	0	
58679.7232	1	86.678	4.9140	101008.068	101022.774	0	0	0	0	0	-3.28	-3.25	-0.32	-0.02	-0.01	1.00	-0.34	1.09	101008.068	101022.774	26.803	1.173	0.035	2017-02-01T18:18:00.000Z	0.000000	0.000000	0	0	1	14.706	1	50	0	
58679.7246	1	86.678	4.9140	101008.068	101022.774	0	0	0	0	0	-3.28	-3.25	-0.32	-0.02	-0.01	1.00	-0.34	1.09	101008.068	101022.774	26.803	1.173	0.035	2017-02-01T18:18:00.000Z	0.000000	0.000000	0	0	1	14.706	1	50	0	
58679.7261	1	86.678	4.9140	101008.068	101022.774	0	0	0	0	0	-3.39	-3.19	-0.29	-0.02	-0.00	0.88	-0.06	1.43	101008.068	101022.774	26.803	1.173	0.035	2017-02-01T18:18:00.000Z	0.000000	0.000000	0	0	1	14.706	1	50	0	
58679.7385	1	86.678	4.9140	101008.068	101022.774	0	0	0	0	0	-3.39	-3.19	-0.29	-0.02	-0.00	0.88	-0.06	1.43	101008.068	101022.774	26.803	1.173	0.035	2017-02-01T18:18:00.000Z	0.000000	0.000000	0	0	1	14.706	1	50	0	
58679.7402	1	86.678	4.9140	101008.068	101022.774	0	0	0	0	0	-3.39	-3.19	-0.29	-0.02	-0.00	0.88	-0.06	1.43	101008.068	101022.774	26.803	1.173	0.035	2017-02-01T18:18:00.000Z	0.000000	0.000000	0	0	1	14.706	1	50	0	
58679.7417	1	86.678	4.9140	101008.068	101022.774	0	0	0	0	0	-3.39	-3.19	-0.29	-0.02	-0.00	0.88	-0.06	1.43	101008.068	101022.774	26.803	1.173	0.035	2017-02-01T18:18:00.000Z	0.000000	0.000000	0	0	1	14.706	1	50	0	
58679.7432	1	86.678	4.9140	101008.068	101022.774	0	0	0	0	0	-3.39	-3.19	-0.29	-0.02	-0.00	0.88	-0.06	1.43	101008.068	101022.774	26.803	1.173	0.035	2017-02-01T18:18:00.000Z	0.000000	0.000000	0	0	1	14.706	1	50	0	
58679.7446	1	86.678	4.9140	101008.068	101022.774	0	0	0	0	0	-3.39	-3.19	-0.29	-0.02	-0.00	0.88	-0.06	1.43	101008.068	101022.774	26.803	1.173	0.035	2017-02-01T18:18:00.000Z	0.000000	0.000000	0	0	1	14.706	1	50	0	
58679.7499	1	86.589	4.9140	101008.394	101023.100	0	0	0	0	0	-3.39	-3.19	-0.29	-0.02	-0.00	0.88	-0.06	1.43	101008.394	101023.100	26.806	1.173	0.008	2017-02-01T18:18:00.000Z	0.000000	0.000000	0	0	1	14.706	1	50	0	
58679.7515	1	86.589	4.9140	101008.394	101023.100	0	0	0	0	0	-3.39	-3.19	-0.29	-0.02	-0.00	0.88	-0.06	1.43	101008.394	101023.100	26.806	1.173	0.008	2017-02-01T18:18:00.000Z	0.000000	0.000000	0	0	1	14.706	1	50	0	
58679.7530	1	86.589	4.9140	101008.394	101023.100	0	0	0	0	0	-3.39	-3.19	-0.29	-0.02	-0.00	0.88	-0.06	1.43	101008.394	101023.100	26.806	1.173	0.008	2017-02-01T18:18:00.000Z	0.000000	0.000000	0	0	1	14.706	1	50	0	
58679.7544	1	86.589	4.9140	101008.394	101023.100	0	0	0	0	0	-3.39	-3.19	-0.29	-0.02	-0.00	0.88	-0.06	1.43	101008.394	101023.100	26.806	1.173	0.008	2017-02-01T18:18:00.000Z	0.000000	0.000000	0	0	1	14.706	1	50	0	
58679.7560	1	86.589	4.9140	101008.394	101023.100	0	0	0	0	0	-3.39	-3.19	-0.29	-0.02	-0.00	0.88	-0.06	1.43	101008.394	101023.100	26.806	1.173	0.008	2017-02-01T18:18:00.000Z	0.000000	0.000000	0	0	1	14.706	1	50	0	
58679.7575	1	86.589	4.9140	101008.394	101023.100	0	0	0	0	0	-3.39	-3.19	-0.29	-0.02	-0.00	0.88	-0.06	1.43	101008.394	101023.100	26.806	1.173	0.008	2017-02-01T18:18:00.000Z	0.000000	0.000000	0	0	1	14.706	1	50	0	
58679.7698	1	86.589	0.0000	101008.394	101023.100	0	0	0	0	0	-3.39	-3.19	-0.29	-0.02	-0.00	0.88	-0.06	1.43	101008.394	101023.100	26.806	1.173	0.008	2017-02-01T18:18:00.000Z	0.000000	0.000000	0	0	1	0	1	50	0	
58679.7762	1	86.589	0.0000	101008.394	101023.100	0	0	0	0	0	-3.39	-3.19	-0.29	-0.02	-0.00	0.88	-0.06	1.43	101008.394	101023.100	26.806	1.173	0.008	2017-02-01T18:18:00.000Z	0.000000	0.000000	0	0	1	0	1	50	0	
58679.7778	1	86.589	0.0000	101008.394	101023.100	0	0	0	0	0	-3.39	-3.19	-0.29	-0.02	-0.00	0.88	-0.06	1.43	101008.394	101023.100	26.806	1.173	0.008	2017-02-01T18:18:00.000Z	0.000000	0.000000	0	0	1	0	1	50	0	
58679.7793	1	86.589	0.0000	101008.394	101023.100	0	0	0	0	0	-3.39	-3.19	-0.29	-0.02	-0.00	0.88	-0.06	1.43	101008.394	101023.100	26.806	1.173	0.008	2017-02-01T18:18:00.000Z	0.000000	0.000000	0	0	1	0	1	50	0	
58679.7808	1	86.589	0.0000	101008.394	101023.100	0	0	0	0	0	-3.39	-3.19	-0.29	-0.02	-0.00	0.88	-0.06	1.43	101008.394	101023.100	26.806	1.173	0.008	2017-02-01T18:18:00.000Z	0.000000	0.000000	0	0	1	0	1	50	0	
