Tempo	WOW	HP	VCAS	PTstatic	PTtotal	RPM	XGPS	YGPS	ZGPS	RPME	Taxa de giro em X	Taxa de giro em Y	Taxa de giro em Z	Aceleração em X	Aceleração em Y	Aceleração em Z	Pitch	Roll	Pressao estática	Pressao total	Temperatura	Densidade do ar	Altitude relativa	Tempo GPS	Latitude	Longitude	Direção de curso	Velocidade GPS	Nivel de fixação GPS	Pressao Dinamica	Wow raw	Distância	Distancia referência	Mensagem	
seg	bit	ft	m/s	PA	PA	rpm	m	m	m	Rpd	º/s	º/s	º/s	g	g	g	º	º	PA	PA	ºC	Kg/m³	m	-	º	º	º	m/s	-	PA	bit	cm	cm	str	
5726.2381	1	37.104	5.6742	101189.233	101208.841	0.000	4.50	-10.32	12.42	7.289	-7.25	-3.94	-1.16	-0.92	0.05	-0.06	3.39	84.95	101189.233	101208.841	19.883	1.203	-0.099	2017-06-09T04:35:26.000Z	-27.599463	-48.518125	134.2	0.01	3	19.608	1	50	0	@t#c%$0#1$	
5726.2868	1	37.104	5.6742	101189.233	101208.841	0.000	4.50	-10.32	12.42	7.289	-7.25	-3.94	-1.16	-0.92	0.05	-0.06	3.39	84.95	101189.233	101208.841	19.883	1.203	-0.099	2017-06-09T04:35:26.000Z	-27.599463	-48.518125	134.2	0.01	3	19.608	1	50	0	@t#c%$0#1$	
5726.3089	1	37.104	5.6742	101189.233	101208.841	0.000	4.50	-10.32	12.42	7.506	-7.25	-3.94	-1.16	-0.92	0.05	-0.06	3.39	84.95	101189.233	101208.841	19.883	1.203	-0.099	2017-06-09T04:35:26.000Z	-27.599463	-48.518125	134.2	0.01	3	19.608	1	50	0	@t#c%$0#1$	
5726.3310	1	37.104	5.6742	101189.233	101208.841	0.000	4.50	-10.32	12.42	7.506	-7.25	-3.94	-1.16	-0.92	0.05	-0.06	3.39	84.95	101189.233	101208.841	19.883	1.203	-0.099	2017-06-09T04:35:26.000Z	-27.599463	-48.518125	134.2	0.01	3	19.608	1	50	0	@t#c%$0#1$	
5726.3535	1	37.104	5.6742	101189.233	101208.841	0.000	4.50	-10.32	12.42	7.506	-7.25	-3.94	-1.16	-0.92	0.05	-0.06	3.39	84.95	101189.233	101208.841	19.883	1.203	-0.099	2017-06-09T04:35:26.000Z	-27.599463	-48.518125	134.2	0.01	3	19.608	1	50	0	@t#c%$0#1$	
5726.3779	1	38.073	5.6742	101185.691	101205.298	0.000	4.50	-10.32	12.42	7.506	-7.25	-3.94	-1.16	-0.92	0.05	-0.06	3.39	84.95	101185.691	101205.298	19.883	1.203	0.196	2017-06-09T04:35:26.000Z	-27.599463	-48.518125	134.2	0.01	3	19.608	1	50	0	@t#c%$0#1$	
5726.4062	1	38.073	5.6742	101185.691	101205.298	0.000	4.50	-10.32	12.42	7.506	-7.25	-3.94	-1.16	-0.92	0.05	-0.06	3.39	84.95	101185.691	101205.298	19.883	1.203	0.196	2017-06-09T04:35:26.000Z	-27.599463	-48.518125	134.2	0.01	3	19.608	1	50	0	@t#c%$0#1$	
5726.4284	1	38.073	5.6742	101185.691	101205.298	0.000	4.50	-10.32	12.42	7.506	-7.25	-3.94	-1.16	-0.92	0.05	-0.06	3.39	84.95	101185.691	101205.298	19.883	1.203	0.196	2017-06-09T04:35:26.000Z	-27.599463	-48.518125	134.2	0.01	3	19.608	1	50	0	@t#c%$0#1$	
5726.4504	1	38.073	5.6742	101185.691	101205.298	0.000	4.50	-10.32	12.42	7.506	-7.25	-3.94	-1.16	-0.92	0.05	-0.06	3.39	84.95	101185.691	101205.298	19.883	1.203	0.196	2017-06-09T04:35:26.000Z	-27.599463	-48.518125	134.2	0.01	3	19.608	1	50	0	@t#c%$0#1$	
5726.4739	1	38.073	5.6742	101185.691	101205.298	0.000	4.50	-10.32	12.42	7.506	-7.25	-3.94	-1.16	-0.92	0.05	-0.06	3.39	84.95	101185.691	101205.298	19.883	1.203	0.196	2017-06-09T04:35:26.000Z	-27.599463	-48.518125	134.2	0.01	3	19.608	1	50	0	@t#c%$0#1$	
5726.4957	1	37.547	5.6742	101187.615	101207.223	0.000	4.50	-10.32	12.42	7.506	-7.25	-3.94	-1.16	-0.92	0.05	-0.06	3.39	84.95	101187.615	101207.223	19.883	1.203	0.036	2017-06-09T04:35:26.000Z	-27.599463	-48.518125	134.2	0.01	3	19.608	1	50	0	@t#c%$0#1$	
5726.5177	1	37.547	5.6742	101187.615	101207.223	0.000	4.50	-10.32	12.42	7.506	-7.25	-3.94	-1.16	-0.92	0.05	-0.06	3.39	84.95	101187.615	101207.223	19.883	1.203	0.036	2017-06-09T04:35:26.000Z	-27.599463	-48.518125	134.2	0.01	3	19.608	1	50	0	@t#c%$0#1$	
5726.5399	1	37.547	5.6742	101187.615	101207.223	0.000	4.50	-10.32	12.42	7.506	-7.25	-3.94	-1.16	-0.92	0.05	-0.06	3.39	84.95	101187.615	101207.223	19.883	1.203	0.036	2017-06-09T04:35:26.000Z	-27.599463	-48.518125	134.2	0.01	3	19.608	1	50	0	@t#c%$0#1$	
5726.5620	1	37.547	5.6742	101187.615	101207.223	0.000	4.50	-10.32	12.42	7.506	-7.25	-3.94	-1.16	-0.92	0.05	-0.06	3.39	84.95	101187.615	101207.223	19.883	1.203	0.036	2017-06-09T04:35:26.000Z	-27.599463	-48.518125	134.2	0.01	3	19.608	1	50	0	@t#c%$0#1$	
