Tempo	WOW	HP	VCAS	PTstatic	PTtotal	RPM	XGPS	YGPS	ZGPS	RPME	Taxa de giro em X	Taxa de giro em Y	Taxa de giro em Z	Aceleração em X	Aceleração em Y	Aceleração em Z	Pitch	Roll	Pressao estática	Pressao total	Temperatura	Densidade do ar	Altitude relativa	Tempo GPS	Latitude	Longitude	Direção de curso	Velocidade GPS	Nivel de fixação GPS	Pressao Dinamica	Wow raw	Distância	Distancia referência	Corrente1	Corrente2	Corrente3	Tensão Bateria	PWM1	PWM2	PWM3	Mensagem	
seg	bit	ft	m/s	PA	PA	rpm	m	m	m	Rpd	º/s	º/s	º/s	g	g	g	º	º	PA	PA	ºC	Kg/m³	m	-	º	º	º	m/s	-	PA	bit	cm	cm	A	A	A	V	Microssec	Microssec	Microssec	str	
46778.5139	0	-266.861	3.8064	102305.814	102314.637	7.064	0	0	0	8.698	-3.27	-3.24	-0.60	0.99	0.19	0.13	10.93	-76.79	102305.814	102314.637	24.574	1.197	-0.316	None	0.000000	0.000000	0	0	1	8.824	0	0	0	-0.004	0.002	0.024	0.00	888	8948	1	@t#c%$0#1$	
46778.5427	0	-266.861	3.8064	102305.814	102314.637	7.064	0	0	0	8.698	-3.63	-3.62	-0.58	1.00	0.19	0.14	10.74	-76.63	102305.814	102314.637	24.574	1.197	-0.316	None	0.000000	0.000000	0	0	1	8.824	0	0	0	-0.004	0.002	0.024	0.00	888	8948	1	@t#c%$0#1$	
46778.5659	0	-266.861	3.8064	102305.814	102314.637	7.064	0	0	0	8.698	-3.63	-3.62	-0.58	1.00	0.19	0.14	10.74	-76.63	102305.814	102314.637	24.574	1.197	-0.316	None	0.000000	0.000000	0	0	1	8.824	0	0	0	-0.004	0.002	0.024	0.00	888	8948	1	@t#c%$0#1$	
46778.5886	0	-266.958	3.8064	102306.172	102314.995	7.064	0	0	0	8.698	-3.11	-3.39	-0.32	1.00	0.20	0.25	10.82	-72.38	102306.172	102314.995	24.574	1.197	-0.346	None	0.000000	0.000000	0	0	1	8.824	0	0	0	-0.004	0.002	0.024	0.00	888	8948	1	@t#c%$0#1$	
46778.6169	0	-266.958	3.8064	102306.172	102314.995	7.064	0	0	0	8.698	-2.81	-3.44	-0.32	1.00	0.19	0.12	10.64	-77.33	102306.172	102314.995	24.574	1.197	-0.346	None	0.000000	0.000000	0	0	1	8.824	0	0	0	-0.004	0.002	0.024	0.00	888	8948	1	@t#c%$0#1$	
46778.6441	0	-266.958	3.5887	102306.172	102314.995	7.064	0	0	0	8.698	-2.81	-3.44	-0.32	1.00	0.19	0.12	10.64	-77.33	102306.172	102314.995	24.574	1.197	-0.346	None	0.000000	0.000000	0	0	1	7.843	0	0	0	-0.004	0.002	0.024	0.00	888	8948	1	@t#c%$0#1$	
46778.6673	0	-266.958	3.5887	102306.172	102314.995	7.064	0	0	0	8.698	-3.15	-3.40	-0.38	1.00	0.20	0.12	11.04	-77.13	102306.172	102314.995	24.574	1.197	-0.346	None	0.000000	0.000000	0	0	1	7.843	0	0	0	-0.004	0.002	0.024	0.00	888	8948	1	@t#c%$0#1$	
46778.6933	0	-266.958	3.5887	102306.172	102314.995	7.064	0	0	0	8.698	-3.71	-3.15	-0.34	1.00	0.20	0.14	11.11	-76.34	102306.172	102314.995	24.574	1.197	-0.346	None	0.000000	0.000000	0	0	1	7.843	0	0	0	-0.004	0.002	0.024	0.00	888	8948	1	@t#c%$0#1$	
46778.7166	0	-267.415	3.5887	102307.859	102315.702	7.064	0	0	0	8.698	-3.71	-3.15	-0.34	1.00	0.20	0.14	11.11	-76.34	102307.859	102315.702	24.576	1.197	-0.485	None	0.000000	0.000000	0	0	1	7.843	0	0	0	-0.004	0.002	0.024	0.00	888	8948	1	@t#c%$0#1$	
46778.7507	0	-267.415	3.5887	102307.859	102315.702	7.064	0	0	0	8.698	-3.85	-3.27	-0.34	0.99	0.19	0.14	10.78	-76.71	102307.859	102315.702	24.576	1.197	-0.485	None	0.000000	0.000000	0	0	1	7.843	0	0	0	-0.004	0.002	0.024	0.00	888	8948	1	@t#c%$0#1$	
46778.7736	0	-267.415	3.5887	102307.859	102315.702	7.064	0	0	0	8.698	-3.30	-3.73	-0.41	1.00	0.19	0.13	10.60	-77.03	102307.859	102315.702	24.576	1.197	-0.485	None	0.000000	0.000000	0	0	1	7.843	0	0	0	-0.004	0.002	0.024	0.00	888	8948	1	@t#c%$0#1$	
46778.7963	0	-267.415	3.5887	102307.859	102315.702	7.064	0	0	0	8.698	-3.30	-3.73	-0.41	1.00	0.19	0.13	10.60	-77.03	102307.859	102315.702	24.576	1.197	-0.485	None	0.000000	0.000000	0	0	1	7.843	0	0	0	-0.004	0.002	0.024	0.00	888	8948	1	@t#c%$0#1$	
46778.8263	0	-267.415	3.5887	102307.859	102315.702	7.064	0	0	0	8.698	-3.02	-3.33	-0.31	1.00	0.19	0.12	10.90	-77.19	102307.859	102315.702	24.576	1.197	-0.485	None	0.000000	0.000000	0	0	1	7.843	0	0	0	-0.004	0.002	0.024	0.00	888	8948	1	@t#c%$0#1$	
46778.8612	0	-267.078	3.1079	102306.616	102314.459	7.064	0	0	0	8.698	-3.10	-3.18	-0.61	1.00	0.19	0.12	10.94	-77.03	102306.616	102314.459	24.576	1.197	-0.382	None	0.000000	0.000000	0	0	1	5.882	0	0	0	-0.004	0.002	0.024	0.00	888	8948	1	@t#c%$0#1$	
46778.8872	0	-267.078	3.1079	102306.616	102314.459	7.064	0	0	0	8.698	-3.71	-3.40	-0.52	0.99	0.19	0.13	10.87	-76.69	102306.616	102314.459	24.576	1.197	-0.382	None	0.000000	0.000000	0	0	1	5.882	0	0	0	-0.004	0.002	0.024	0.00	888	8948	1	@t#c%$0#1$	
46778.9100	0	-267.078	3.1079	102306.616	102314.459	7.064	0	0	0	8.698	-3.79	-3.63	-0.49	0.99	0.20	0.14	11.09	-76.30	102306.616	102314.459	24.576	1.197	-0.382	None	0.000000	0.000000	0	0	1	5.882	0	0	0	-0.004	0.002	0.024	0.00	888	8948	1	@t#c%$0#1$	
46778.9420	0	-266.903	3.1079	102305.970	102311.852	7.064	0	0	0	8.698	-2.89	-3.54	-0.27	1.00	0.20	0.12	11.07	-76.89	102305.970	102311.852	24.569	1.197	-0.329	None	0.000000	0.000000	0	0	1	5.882	0	0	0	-0.004	0.002	0.024	0.00	888	8948	1	@t#c%$0#1$	
46779.0307	0	-266.903	3.1079	102305.970	102311.852	5.674	0	0	0	9.579	-3.45	-3.18	-0.56	0.99	0.19	0.13	10.92	-76.76	102305.970	102311.852	24.569	1.197	-0.329	None	0.000000	0.000000	0	0	1	5.882	0	0	0	-0.003	-0.001	0.011	0.00	981	8935	8940	@t#c%$0#1$	
46779.0576	0	-266.903	3.1079	102305.970	102311.852	5.674	0	0	0	9.579	-3.45	-3.18	-0.56	0.99	0.19	0.13	10.92	-76.76	102305.970	102311.852	24.569	1.197	-0.329	None	0.000000	0.000000	0	0	1	5.882	0	0	0	-0.003	-0.001	0.011	0.00	981	8935	8940	@t#c%$0#1$	
46779.0852	0	-266.903	5.2314	102305.970	102311.852	5.674	0	0	0	9.579	-3.85	-3.05	-0.41	1.00	0.19	0.14	10.51	-76.95	102305.970	102311.852	24.569	1.197	-0.329	None	0.000000	0.000000	0	0	1	16.667	0	0	0	-0.003	-0.001	0.011	0.00	981	8935	8940	@t#c%$0#1$	
46779.1180	0	-266.903	5.2314	102305.970	102311.852	5.674	0	0	0	9.579	-3.08	-3.11	-0.66	0.99	0.20	0.13	11.10	-76.78	102305.970	102311.852	24.569	1.197	-0.329	None	0.000000	0.000000	0	0	1	16.667	0	0	0	-0.003	-0.001	0.011	0.00	981	8935	8940	@t#c%$0#1$	
46779.1404	0	-267.665	5.2314	102308.783	102325.450	5.674	0	0	0	9.579	-3.08	-3.11	-0.66	0.99	0.20	0.13	11.10	-76.78	102308.783	102325.450	24.572	1.197	-0.561	None	0.000000	0.000000	0	0	1	16.667	0	0	0	-0.003	-0.001	0.011	0.00	981	8935	8940	@t#c%$0#1$	
46779.1629	0	-267.665	5.2314	102308.783	102325.450	5.674	0	0	0	9.579	-3.88	-3.48	-0.49	1.00	0.19	0.14	10.81	-76.63	102308.783	102325.450	24.572	1.197	-0.561	None	0.000000	0.000000	0	0	1	16.667	0	0	0	-0.003	-0.001	0.011	0.00	981	8935	8940	@t#c%$0#1$	
46779.1907	0	-267.665	5.2314	102308.783	102325.450	5.674	0	0	0	9.579	-3.59	-3.36	-0.52	1.01	0.20	0.13	10.90	-76.89	102308.783	102325.450	24.572	1.197	-0.561	None	0.000000	0.000000	0	0	1	16.667	0	0	0	-0.003	-0.001	0.011	0.00	981	8935	8940	@t#c%$0#1$	
46779.2147	0	-267.665	5.2314	102308.783	102325.450	5.674	0	0	0	9.579	-3.59	-3.36	-0.52	1.01	0.20	0.13	10.90	-76.89	102308.783	102325.450	24.572	1.197	-0.561	None	0.000000	0.000000	0	0	1	16.667	0	0	0	-0.003	-0.001	0.011	0.00	981	8935	8940	@t#c%$0#1$	
46779.2369	0	-267.665	5.2314	102308.783	102325.450	5.674	0	0	0	9.579	-2.96	-3.10	-0.46	0.99	0.20	0.12	11.06	-76.99	102308.783	102325.450	24.572	1.197	-0.561	None	0.000000	0.000000	0	0	1	16.667	0	0	0	-0.003	-0.001	0.011	0.00	981	8935	8940	@t#c%$0#1$	
46779.2593	0	-266.954	5.2314	102306.157	102322.824	5.674	0	0	0	9.579	-3.27	-3.30	-0.49	0.99	0.20	0.13	11.05	-76.55	102306.157	102322.824	24.576	1.197	-0.344	None	0.000000	0.000000	0	0	1	16.667	0	0	0	-0.003	-0.001	0.011	0.00	981	8935	8940	@t#c%$0#1$	
46779.2941	0	-266.954	1.2688	102306.157	102322.824	5.674	0	0	0	9.579	-3.97	-3.39	-0.47	1.00	0.19	0.13	10.83	-76.97	102306.157	102322.824	24.576	1.197	-0.344	None	0.000000	0.000000	0	0	1	0.980	0	0	0	-0.003	-0.001	0.011	0.00	981	8935	8940	@t#c%$0#1$	
46779.3337	0	-266.954	1.2688	102306.157	102322.824	5.674	0	0	0	9.579	-3.97	-3.39	-0.47	1.00	0.19	0.13	10.83	-76.97	102306.157	102322.824	24.576	1.197	-0.344	None	0.000000	0.000000	0	0	1	0.980	0	0	0	-0.003	-0.001	0.011	0.00	981	8935	8940	@t#c%$0#1$	
46779.3562	0	-266.954	1.2688	102306.157	102322.824	5.674	0	0	0	9.579	-2.95	-3.27	-0.46	1.00	0.20	0.13	11.03	-76.81	102306.157	102322.824	24.576	1.197	-0.344	None	0.000000	0.000000	0	0	1	0.980	0	0	0	-0.003	-0.001	0.011	0.00	981	8935	8940	@t#c%$0#1$	
46779.3784	0	-267.492	1.2688	102308.144	102309.124	5.674	0	0	0	9.579	-3.16	-3.13	-0.50	0.99	0.19	0.01	10.93	-79.06	102308.144	102309.124	24.578	1.197	-0.508	None	0.000000	0.000000	0	0	1	0.980	0	0	0	-0.003	-0.001	0.011	0.00	981	8935	8940	@t#c%$0#1$	
46779.4130	0	-267.492	1.2688	102308.144	102309.124	5.674	0	0	0	9.579	-3.16	-3.13	-0.50	0.99	0.19	0.01	10.93	-79.06	102308.144	102309.124	24.578	1.197	-0.508	None	0.000000	0.000000	0	0	1	0.980	0	0	0	-0.003	-0.001	0.011	0.00	981	8935	8940	@t#c%$0#1$	
46779.4352	0	-267.492	1.2688	102308.144	102309.124	5.674	0	0	0	9.579	-3.59	-3.51	-0.53	0.99	0.19	0.14	10.94	-76.45	102308.144	102309.124	24.578	1.197	-0.508	None	0.000000	0.000000	0	0	1	0.980	0	0	0	-0.003	-0.001	0.011	0.00	981	8935	8940	@t#c%$0#1$	
46779.4576	0	-267.492	1.2688	102308.144	102309.124	5.674	0	0	0	9.579	-3.33	-3.53	-0.47	1.00	0.19	0.13	10.74	-76.98	102308.144	102309.124	24.578	1.197	-0.508	None	0.000000	0.000000	0	0	1	0.980	0	0	0	-0.003	-0.001	0.011	0.00	981	8935	8940	@t#c%$0#1$	
46779.4868	0	-267.492	1.2688	102308.144	102309.124	5.674	0	0	0	9.579	-3.33	-3.53	-0.47	1.00	0.19	0.13	10.74	-76.98	102308.144	102309.124	24.578	1.197	-0.508	None	0.000000	0.000000	0	0	1	0.980	0	0	0	-0.003	-0.001	0.011	0.00	981	8935	8940	@t#c%$0#1$	
46779.5235	0	-266.843	1.2688	102305.749	102306.730	5.674	0	0	0	9.579	-3.85	-3.27	-0.49	0.99	0.20	0.13	11.28	-76.62	102305.749	102306.730	24.576	1.197	-0.311	None	0.000000	0.000000	0	0	1	0.980	0	0	0	-0.003	-0.001	0.011	0.00	981	8935	8940		
46779.5958	0	-266.843	0.0000	102305.749	102306.730	7.506	0	0	0	11.348	-3.37	-3.33	-0.32	0.99	0.19	0.00	10.62	-79.38	102305.749	102306.730	24.576	1.197	-0.311	None	0.000000	0.000000	0	0	1	0	0	0	0	-0.013	-0.022	-0.006	0.02	1064	8931	8947		
46779.6180	0	-266.843	0.0000	102305.749	102306.730	7.506	0	0	0	11.348	-3.37	-3.33	-0.32	0.99	0.19	0.00	10.62	-79.38	102305.749	102306.730	24.576	1.197	-0.311	None	0.000000	0.000000	0	0	1	0	0	0	0	-0.013	-0.022	-0.006	0.02	1064	8931	8947		
46779.6434	0	-266.843	0.0000	102305.749	102306.730	7.506	0	0	0	11.348	-3.85	-3.01	-0.49	1.00	0.19	0.14	10.82	-76.61	102305.749	102306.730	24.576	1.197	-0.311	None	0.000000	0.000000	0	0	1	0	0	0	0	-0.013	-0.022	-0.006	0.02	1064	8931	8947		
46779.6674	0	-268.045	0.0000	102310.185	102310.185	7.506	0	0	0	11.348	-3.68	-3.53	-0.43	1.00	0.19	0.13	10.92	-76.76	102310.185	102310.185	24.575	1.197	-0.676	None	0.000000	0.000000	0	0	1	0	0	0	0	-0.013	-0.022	-0.006	0.02	1064	8931	8947		
46779.6895	0	-268.045	0.0000	102310.185	102310.185	7.506	0	0	0	11.348	-3.68	-3.53	-0.43	1.00	0.19	0.13	10.92	-76.76	102310.185	102310.185	24.575	1.197	-0.676	None	0.000000	0.000000	0	0	1	0	0	0	0	-0.013	-0.022	-0.006	0.02	1064	8931	8947		
46779.7114	0	-268.045	0.0000	102310.185	102310.185	7.506	0	0	0	11.348	-2.92	-3.48	-0.61	1.00	0.19	0.12	10.88	-77.31	102310.185	102310.185	24.575	1.197	-0.676	None	0.000000	0.000000	0	0	1	0	0	0	0	-0.013	-0.022	-0.006	0.02	1064	8931	8947		
46779.7332	0	-268.045	0.0000	102310.185	102310.185	7.506	0	0	0	11.348	-2.92	-3.48	-0.61	1.00	0.19	0.12	10.88	-77.31	102310.185	102310.185	24.575	1.197	-0.676	None	0.000000	0.000000	0	0	1	0	0	0	0	-0.013	-0.022	-0.006	0.02	1064	8931	8947		
46779.7552	0	-268.045	0.0000	102310.185	102310.185	7.506	0	0	0	11.348	-2.89	-3.04	-0.47	0.99	0.19	0.12	11.01	-77.12	102310.185	102310.185	24.575	1.197	-0.676	None	0.000000	0.000000	0	0	1	0	0	0	0	-0.013	-0.022	-0.006	0.02	1064	8931	8947		
46779.7784	0	-268.045	3.1079	102310.185	102310.185	7.506	0	0	0	11.348	-3.68	-3.18	-0.50	0.99	0.19	0.14	10.93	-76.61	102310.185	102310.185	24.575	1.197	-0.676	None	0.000000	0.000000	0	0	1	5.882	0	0	0	-0.013	-0.022	-0.006	0.02	1064	8931	8947		
46779.8097	0	-266.838	3.1079	102305.731	102311.613	7.506	0	0	0	11.348	-3.68	-3.18	-0.50	0.99	0.19	0.14	10.93	-76.61	102305.731	102311.613	24.568	1.197	-0.309	None	0.000000	0.000000	0	0	1	5.882	0	0	0	-0.013	-0.022	-0.006	0.02	1064	8931	8947		
46779.8314	0	-266.838	3.1079	102305.731	102311.613	7.506	0	0	0	11.348	-2.78	-3.40	-0.34	1.00	0.19	0.12	10.85	-77.20	102305.731	102311.613	24.568	1.197	-0.309	None	0.000000	0.000000	0	0	1	5.882	0	0	0	-0.013	-0.022	-0.006	0.02	1064	8931	8947		
46779.8538	0	-266.838	3.1079	102305.731	102311.613	7.506	0	0	0	11.348	-2.78	-3.40	-0.34	1.00	0.19	0.12	10.85	-77.20	102305.731	102311.613	24.568	1.197	-0.309	None	0.000000	0.000000	0	0	1	5.882	0	0	0	-0.013	-0.022	-0.006	0.02	1064	8931	8947		
46779.8825	0	-266.838	3.1079	102305.731	102311.613	7.506	0	0	0	11.348	-3.16	-3.19	-0.49	0.99	0.19	0.11	10.63	-77.52	102305.731	102311.613	24.568	1.197	-0.309	None	0.000000	0.000000	0	0	1	5.882	0	0	0	-0.013	-0.022	-0.006	0.02	1064	8931	8947		
46779.9054	0	-266.838	3.1079	102305.731	102311.613	7.506	0	0	0	11.348	-3.63	-2.96	-0.53	1.00	0.19	0.13	10.91	-76.69	102305.731	102311.613	24.568	1.197	-0.309	None	0.000000	0.000000	0	0	1	5.882	0	0	0	-0.013	-0.022	-0.006	0.02	1064	8931	8947		
46779.9271	0	-267.529	3.1079	102308.279	102314.162	7.506	0	0	0	11.348	-4.03	-3.51	-0.29	0.99	0.20	0.14	11.10	-76.48	102308.279	102314.162	24.574	1.197	-0.519	None	0.000000	0.000000	0	0	1	5.882	0	0	0	-0.013	-0.022	-0.006	0.02	1064	8931	8947		
46779.9575	0	-267.529	3.1079	102308.279	102314.162	7.506	0	0	0	11.348	-4.03	-3.51	-0.29	0.99	0.20	0.14	11.10	-76.48	102308.279	102314.162	24.574	1.197	-0.519	None	0.000000	0.000000	0	0	1	5.882	0	0	0	-0.013	-0.022	-0.006	0.02	1064	8931	8947		
46779.9793	0	-267.529	3.1079	102308.279	102314.162	7.506	0	0	0	11.348	-3.53	-3.76	-0.29	1.00	0.20	0.13	10.99	-76.72	102308.279	102314.162	24.574	1.197	-0.519	None	0.000000	0.000000	0	0	1	5.882	0	0	0	-0.013	-0.022	-0.006	0.02	1064	8931	8947		
46780.0018	0	-267.529	4.0123	102308.279	102314.162	7.506	0	0	0	11.348	-3.53	-3.76	-0.29	1.00	0.20	0.13	10.99	-76.72	102308.279	102314.162	24.574	1.197	-0.519	None	0.000000	0.000000	0	0	1	9.804	0	0	0	-0.013	-0.022	-0.006	0.02	1064	8931	8947		
46780.0315	0	-267.529	4.0123	102308.279	102314.162	7.506	0	0	0	11.348	-2.99	-3.54	-0.38	1.12	0.19	0.25	9.58	-74.34	102308.279	102314.162	24.574	1.197	-0.519	None	0.000000	0.000000	0	0	1	9.804	0	0	0	-0.013	-0.022	-0.006	0.02	1064	8931	8947		
46780.0676	0	-267.424	4.0123	102307.892	102317.696	7.506	0	0	0	11.348	-2.92	-3.31	-0.52	1.12	0.19	0.01	9.74	-80.24	102307.892	102317.696	24.573	1.197	-0.487	None	0.000000	0.000000	0	0	1	9.804	0	0	0	-0.013	-0.022	-0.006	0.02	1064	8931	8947		
46780.0914	0	-267.424	4.0123	102307.892	102317.696	7.506	0	0	0	11.348	-3.83	-3.28	-0.50	1.00	0.19	0.14	10.94	-76.39	102307.892	102317.696	24.573	1.197	-0.487	None	0.000000	0.000000	0	0	1	9.804	0	0	0	-0.013	-0.022	-0.006	0.02	1064	8931	8947		
46780.1394	0	-267.424	4.0123	102307.892	102317.696	8.124	0	0	0	9.149	-2.93	-3.16	-0.44	0.88	0.20	0.12	12.57	-75.17	102307.892	102317.696	24.573	1.197	-0.487	None	0.000000	0.000000	0	0	1	9.804	0	0	0	-0.019	-0.010	0.007	0.00	1001	8952	8920		
