Bytes, Tempo de abertura arquivo, Tempo escrita no buffer, Tempo fechar arquivo, Tempo print, Tempo função
1, 747, 46, 302, 999870, 999951
2, 379, 46, 251, 17303, 999969
3, 388, 48, 267, 16428, 999969
4, 380, 47, 265, 18120, 999969
5, 373, 47, 265, 16646, 999970
6, 393, 49, 266, 17291, 999968
7, 362, 49, 268, 16562, 999971
8, 377, 46, 270, 17315, 999969
9, 377, 47, 263, 17043, 999969
10, 381, 49, 278, 16726, 999972
11, 373, 48, 271, 16951, 999971
12, 384, 44, 267, 17814, 999969
13, 373, 46, 568, 16618, 999971
14, 397, 49, 270, 16643, 999965
15, 377, 45, 271, 17196, 999969
16, 382, 47, 267, 17473, 999967
17, 375, 46, 284, 17592, 999971
18, 390, 43, 263, 16478, 999963
19, 369, 43, 267, 16260, 999971
20, 366, 46, 271, 16255, 999970
21, 371, 45, 265, 16478, 999969
22, 381, 45, 269, 22156, 999969
23, 460, 49, 267, 23415, 999969
24, 380, 47, 270, 22717, 999967
25, 381, 46, 268, 22664, 999972
26, 383, 46, 264, 22728, 999971
27, 381, 45, 269, 23528, 999967
28, 523, 44, 260, 22793, 999970
29, 384, 45, 267, 22747, 999969
30, 394, 45, 1219, 21937, 999967
31, 376, 44, 254, 23656, 999970
32, 385, 47, 257, 22352, 999967
33, 382, 47, 260, 22361, 999968
34, 382, 48, 253, 22560, 999969
35, 384, 51, 257, 22104, 999971
36, 399, 46, 257, 23329, 999970
37, 393, 46, 258, 23076, 999935
38, 385, 45, 294, 21840, 999969
39, 375, 46, 253, 22034, 999970
40, 385, 46, 286, 21843, 999971
41, 376, 69, 278, 22849, 999938
42, 382, 49, 265, 21756, 999970
43, 386, 46, 256, 21867, 999968
44, 375, 48, 257, 22717, 999971
45, 379, 43, 261, 22078, 999970
46, 386, 47, 256, 21869, 999970
47, 391, 47, 258, 21890, 999969
48, 384, 47, 408, 21881, 999967
49, 399, 63, 301, 23084, 999970
50, 379, 45, 256, 37699, 999969
51, 389, 48, 261, 21309, 999969
52, 377, 51, 269, 22722, 999970
53, 386, 44, 253, 22166, 999968
54, 381, 46, 258, 21835, 999968
55, 381, 46, 256, 22169, 999970
56, 384, 48, 257, 22244, 999969
57, 382, 47, 260, 22934, 999969
58, 382, 46, 262, 22217, 999971
59, 395, 45, 256, 22234, 999967
60, 382, 44, 259, 22062, 999969
61, 568, 53, 268, 23136, 999970
62, 385, 47, 260, 21715, 999968
63, 388, 48, 258, 22035, 999968
64, 405, 46, 409, 22124, 999968
65, 395, 45, 263, 22926, 999969
66, 381, 46, 266, 21986, 999967
67, 525, 50, 263, 22120, 999968
68, 385, 48, 261, 21672, 999968
69, 384, 47, 260, 22077, 999968
70, 383, 45, 253, 22943, 999967
71, 382, 45, 258, 22650, 999970
72, 390, 42, 258, 22133, 999968
73, 380, 46, 256, 22341, 999969
74, 382, 46, 259, 23127, 999969
75, 401, 47, 263, 22122, 999969
76, 381, 48, 272, 22217, 999969
77, 387, 45, 262, 22136, 999969
78, 380, 45, 281, 23179, 999967
79, 383, 47, 265, 22216, 999968
80, 390, 48, 259, 22068, 999966
81, 383, 50, 350, 21983, 999969
82, 385, 47, 274, 22038, 999968
83, 400, 52, 252, 23600, 999970
84, 385, 51, 265, 22256, 999971
85, 382, 45, 258, 21893, 999967
86, 386, 45, 260, 21921, 999969
87, 369, 47, 257, 22838, 999970
88, 388, 45, 259, 22057, 999968
89, 381, 45, 260, 22134, 999966
90, 383, 45, 331, 22289, 999967
91, 382, 45, 258, 23775, 999968
92, 511, 77, 330, 22791, 999971
93, 381, 45, 262, 35672, 999969
94, 397, 50, 258, 22230, 999967
95, 400, 49, 257, 21864, 999967
96, 383, 50, 272, 22085, 999968
97, 460, 49, 251, 21974, 999970
98, 380, 47, 263, 21475, 999972
99, 385, 47, 257, 22009, 999970
100, 475, 48, 262, 22722, 999967
101, 390, 49, 266, 21584, 999967
102, 385, 48, 266, 22091, 999970
103, 387, 67, 269, 22239, 999968
104, 386, 54, 276, 22978, 999969
105, 485, 67, 347, 27375, 999959
106, 498, 67, 331, 29105, 999956
107, 488, 64, 328, 28730, 999957
108, 386, 50, 258, 27722, 999964
109, 380, 46, 261, 21948, 999969
110, 402, 63, 267, 22138, 999970
111, 380, 44, 279, 21978, 999970
112, 382, 54, 278, 22968, 999971
113, 393, 48, 259, 22154, 999968
114, 385, 46, 258, 22036, 999969
115, 378, 47, 258, 22191, 999969
116, 378, 45, 268, 22757, 999970
117, 373, 49, 260, 21978, 999969
118, 383, 46, 258, 21767, 999968
119, 396, 52, 264, 22004, 999967
120, 382, 46, 257, 21269, 999969
121, 379, 49, 258, 22733, 999968
122, 490, 49, 259, 21906, 999968
123, 375, 45, 271, 21311, 999969
124, 381, 47, 269, 22827, 999970
125, 373, 47, 273, 22738, 999967
126, 384, 47, 255, 21742, 999968
127, 375, 50, 327, 21783, 999971
128, 465, 47, 256, 21948, 999970
129, 378, 44, 258, 22953, 999970
130, 379, 45, 261, 21902, 999968
131, 382, 51, 263, 22205, 999966
132, 388, 56, 263, 22083, 999969
133, 377, 46, 258, 21848, 999968
134, 458, 84, 333, 24376, 999960
135, 396, 54, 270, 45550, 999954
136, 386, 48, 268, 26893, 999968
137, 383, 52, 282, 23162, 999968
138, 385, 47, 269, 22102, 999969
139, 531, 49, 274, 22402, 999968
140, 384, 48, 272, 22342, 999969
141, 382, 46, 276, 23077, 999969
142, 389, 44, 267, 22446, 999968
143, 379, 47, 275, 22218, 999969
144, 384, 46, 545, 22407, 999968
145, 379, 48, 269, 23220, 999969
146, 388, 46, 270, 22243, 999970
147, 381, 50, 275, 22579, 999968
148, 383, 47, 269, 22243, 999969
149, 516, 54, 267, 23652, 999969
150, 385, 48, 271, 23071, 999970
151, 380, 48, 268, 22215, 999968
152, 384, 45, 266, 22489, 999969
153, 376, 46, 271, 22227, 999969
154, 382, 60, 266, 23196, 999966
155, 385, 48, 272, 22514, 999969
156, 380, 48, 341, 22398, 999971
157, 379, 48, 273, 22586, 999969
158, 382, 46, 263, 22879, 999968
159, 383, 49, 268, 22272, 999968
160, 384, 47, 272, 22318, 999970
161, 415, 52, 289, 23599, 999965
162, 379, 47, 263, 22422, 999970
163, 375, 46, 260, 23084, 999972
164, 380, 69, 267, 22273, 999970
165, 372, 46, 262, 23372, 999969
166, 381, 45, 260, 22426, 999971
167, 377, 49, 265, 23098, 999969
168, 379, 48, 261, 22307, 999969
169, 462, 57, 259, 22235, 999970
170, 375, 46, 260, 22326, 999971
171, 369, 47, 259, 23337, 999970
172, 380, 47, 259, 22484, 999970
173, 370, 48, 262, 22391, 999970
174, 377, 68, 273, 22382, 999968
175, 375, 48, 263, 22069, 999971
176, 709, 157, 482, 28484, 999887
177, 490, 78, 301, 35368, 999966
178, 380, 48, 303, 23763, 999968
179, 438, 54, 258, 23155, 999965
180, 378, 52, 354, 22173, 999969
181, 373, 50, 309, 22393, 999970
182, 372, 46, 301, 22601, 999969
183, 422, 49, 257, 23363, 999971
184, 436, 54, 260, 22469, 999967
185, 375, 71, 257, 22346, 999969
186, 375, 71, 258, 22604, 999971
187, 372, 54, 288, 22398, 999970
188, 421, 49, 262, 23014, 999971
189, 486, 79, 261, 22147, 999970
190, 375, 53, 298, 22317, 999971
191, 374, 46, 304, 22323, 999968
192, 419, 51, 260, 23386, 999970
193, 384, 54, 283, 22149, 999972
194, 473, 64, 298, 22408, 999970
195, 376, 92, 262, 22381, 999970
196, 421, 49, 259, 23294, 999970
197, 405, 48, 259, 22738, 999964
198, 379, 47, 260, 23225, 999970
199, 378, 48, 259, 22599, 999969
200, 404, 50, 263, 22249, 999972
201, 446, 63, 330, 23224, 999970
202, 377, 51, 262, 22458, 999971
203, 376, 54, 262, 22482, 999969
204, 378, 48, 255, 22574, 999971
205, 374, 48, 260, 23062, 999969
206, 382, 46, 260, 23401, 999969
207, 373, 51, 262, 21629, 999969
208, 378, 47, 260, 22501, 999967
209, 368, 48, 262, 23547, 999970
210, 380, 47, 257, 22427, 999967
211, 389, 52, 260, 22459, 999967
212, 375, 51, 264, 22270, 999971
213, 373, 48, 262, 22322, 999971
214, 379, 48, 261, 23381, 999969
215, 378, 48, 266, 22606, 999970
216, 379, 50, 263, 22593, 999966
217, 433, 76, 312, 23303, 999964
218, 380, 51, 262, 28522, 999967
219, 385, 52, 357, 22018, 999967
220, 387, 53, 262, 22052, 999968
221, 375, 49, 340, 22025, 999969
222, 386, 50, 259, 23117, 999970
223, 375, 54, 270, 22250, 999969
224, 385, 50, 266, 22140, 999967
225, 375, 50, 267, 22501, 999968
226, 384, 55, 248, 23201, 999969
227, 387, 58, 260, 22278, 999834
228, 378, 56, 265, 22314, 999970
229, 377, 53, 262, 22390, 999970
230, 380, 51, 268, 22406, 999968
231, 374, 54, 259, 23064, 999968
232, 460, 61, 266, 22335, 999970
233, 369, 50, 259, 22348, 999970
234, 385, 50, 261, 22289, 999970
235, 372, 55, 265, 23287, 999967
236, 382, 54, 1910, 22262, 999969
237, 367, 49, 257, 22874, 999969
238, 375, 50, 328, 22592, 999971
239, 374, 50, 263, 23599, 999970
240, 381, 49, 262, 22470, 999969
241, 377, 69, 285, 22547, 999971
242, 376, 51, 262, 22139, 999969
243, 373, 51, 265, 22699, 999970
244, 374, 48, 259, 23371, 999968
245, 371, 47, 262, 22281, 999971
246, 377, 76, 268, 22424, 999969
247, 376, 50, 327, 23501, 999969
248, 375, 80, 310, 23282, 999970
249, 371, 57, 267, 22217, 999970
250, 378, 56, 265, 22355, 999971
251, 376, 60, 260, 22502, 999970
252, 410, 55, 280, 23138, 999969
253, 556, 63, 272, 22026, 999970
254, 441, 55, 314, 22176, 999966
255, 370, 55, 346, 22139, 999970
256, 403, 53, 265, 23889, 999945
257, 402, 52, 259, 22290, 999968
258, 420, 77, 361, 23126, 999966
259, 378, 58, 270, 55168, 999967
260, 379, 59, 271, 22349, 999968
261, 378, 57, 265, 22087, 999970
262, 454, 57, 270, 22234, 999970
263, 381, 56, 264, 23256, 999969
264, 379, 53, 267, 22155, 999968
265, 387, 129, 270, 29252, 999968
266, 399, 54, 263, 22245, 999969
267, 382, 53, 268, 23372, 999967
268, 380, 52, 268, 22477, 999970
269, 383, 53, 270, 22249, 999970
270, 372, 66, 262, 22205, 999970
271, 375, 53, 340, 22640, 999965
272, 381, 54, 255, 23090, 999970
273, 372, 58, 261, 22547, 999969
274, 383, 56, 273, 22231, 999970
275, 571, 57, 272, 22226, 999969
276, 394, 54, 263, 23079, 999967
277, 389, 56, 336, 22413, 999968
278, 397, 51, 265, 22406, 999967
279, 386, 55, 264, 22280, 999969
280, 383, 50, 259, 23497, 999968
281, 384, 51, 258, 22185, 999969
282, 383, 65, 267, 22282, 999968
283, 382, 52, 267, 22577, 999968
284, 390, 50, 267, 22110, 999969
285, 381, 53, 345, 23210, 999969
286, 387, 52, 268, 22443, 999969
287, 375, 52, 262, 23386, 999966
288, 381, 56, 264, 22130, 999966
289, 447, 55, 269, 23227, 999969
290, 370, 53, 265, 22200, 999970
291, 377, 48, 263, 22072, 999969
292, 383, 56, 264, 22177, 999969
293, 381, 54, 262, 22867, 999968
294, 381, 69, 262, 22241, 999967
295, 379, 51, 262, 21942, 999968
296, 379, 53, 263, 22743, 999969
297, 373, 53, 261, 23139, 999969
298, 383, 53, 260, 22128, 999968
299, 423, 100, 409, 23060, 999962
300, 380, 52, 270, 53420, 999969
301, 377, 69, 269, 21889, 999968
302, 379, 52, 262, 22019, 999968
303, 373, 52, 268, 22014, 999969
304, 373, 51, 266, 22336, 999969
305, 376, 52, 266, 22812, 999967
306, 384, 52, 335, 22179, 999969
307, 378, 53, 265, 22317, 999970
308, 384, 52, 266, 22168, 999970
309, 379, 55, 263, 23052, 999969
310, 381, 53, 268, 22226, 999968
311, 379, 53, 346, 22107, 999969
312, 381, 52, 265, 22210, 999969
313, 368, 53, 331, 23191, 999970
314, 382, 54, 262, 22210, 999969
315, 384, 54, 268, 22029, 999971
316, 381, 69, 269, 22238, 999968
317, 376, 54, 273, 22189, 999966
318, 384, 50, 269, 23002, 999970
319, 379, 53, 264, 22525, 999971
320, 388, 52, 267, 22168, 999969
321, 382, 68, 269, 22170, 999970
322, 380, 51, 266, 22939, 999969
323, 372, 55, 267, 22114, 999970
324, 380, 53, 264, 22214, 999968
325, 383, 53, 337, 22220, 999971
326, 378, 53, 263, 23161, 999969
327, 376, 58, 265, 23333, 999969
328, 384, 69, 271, 22239, 999969
329, 382, 61, 269, 22258, 999967
330, 383, 58, 266, 22293, 999968
331, 380, 56, 267, 23061, 999969
332, 390, 53, 271, 22330, 999965
333, 394, 55, 267, 22181, 999961
334, 400, 56, 268, 22159, 999968
335, 379, 56, 360, 22998, 999966
336, 396, 57, 268, 22245, 999967
337, 385, 55, 267, 22162, 999968
338, 394, 55, 339, 22441, 999970
339, 376, 56, 274, 23174, 999968
340, 432, 67, 257, 22483, 999967
341, 379, 66, 271, 37559, 999971
342, 387, 53, 269, 22025, 999967
343, 373, 53, 271, 22913, 999968
344, 386, 55, 281, 22608, 999969
345, 379, 56, 274, 22324, 999971
346, 388, 59, 269, 22548, 999969
347, 378, 59, 269, 22164, 999969
348, 384, 59, 349, 22460, 999970
349, 368, 61, 270, 22213, 999970
350, 381, 57, 341, 22240, 999969
351, 383, 61, 275, 22322, 999967
352, 381, 56, 269, 23606, 999969
353, 383, 54, 264, 22508, 999970
354, 384, 53, 270, 22280, 999969
355, 377, 54, 268, 22245, 999969
356, 384, 55, 272, 23662, 999967
357, 379, 54, 271, 22138, 999968
358, 382, 53, 268, 22216, 999968
359, 379, 53, 271, 22191, 999969
360, 382, 57, 267, 22877, 999963
361, 384, 53, 342, 22350, 999968
362, 385, 54, 269, 22279, 999967
363, 378, 56, 268, 22216, 999968
364, 383, 61, 274, 23119, 999967
365, 382, 59, 269, 22275, 999971
366, 377, 60, 267, 22191, 999970
367, 379, 73, 272, 22200, 999967
368, 394, 59, 264, 23022, 999967
369, 377, 60, 268, 24426, 999968
370, 382, 60, 272, 22333, 999968
371, 377, 61, 356, 22356, 999969
372, 386, 59, 337, 22300, 999971
373, 381, 57, 270, 22357, 999967
374, 386, 59, 271, 22248, 999970
375, 386, 59, 267, 22222, 999969
376, 390, 66, 273, 22109, 999969
377, 379, 55, 264, 23064, 999968
378, 380, 57, 268, 22162, 999966
379, 380, 58, 270, 22454, 999969
380, 390, 54, 272, 22178, 999971
381, 370, 56, 269, 23263, 999971
382, 388, 59, 269, 40461, 999969
383, 376, 62, 339, 22322, 999969
384, 387, 62, 270, 22217, 999970
385, 378, 60, 277, 22449, 999969
386, 473, 58, 261, 22284, 999970
387, 389, 63, 272, 22200, 999969
388, 390, 60, 271, 22310, 999968
389, 381, 60, 272, 22859, 999969
390, 391, 55, 261, 22370, 999970
391, 389, 65, 267, 22377, 999968
392, 389, 65, 271, 22291, 999968
393, 381, 74, 270, 23347, 999970
394, 385, 69, 337, 22284, 999970
395, 388, 82, 278, 22288, 999969
396, 387, 70, 270, 22022, 999969
397, 383, 64, 264, 22229, 999967
398, 384, 65, 265, 23325, 999968
399, 381, 70, 273, 22398, 999969
400, 383, 63, 266, 22556, 999969
401, 377, 63, 269, 22215, 999970
402, 466, 68, 262, 23174, 999970
403, 383, 66, 266, 22405, 999968
404, 386, 69, 407, 22181, 999969
405, 377, 71, 272, 22452, 999967
406, 383, 73, 269, 22872, 999970
407, 382, 75, 272, 22258, 999967
408, 375, 72, 272, 22101, 999969
409, 380, 69, 274, 23285, 999967
410, 379, 68, 279, 23202, 999968
411, 382, 76, 274, 22353, 999963
412, 386, 70, 260, 22332, 999968
413, 379, 84, 268, 22423, 999970
414, 381, 74, 342, 22191, 999967
415, 378, 68, 273, 23155, 999966
416, 382, 65, 266, 22482, 999970
417, 379, 66, 269, 22250, 999966
418, 385, 65, 270, 22661, 999969
419, 381, 66, 271, 23111, 999968
420, 383, 67, 268, 22349, 999969
421, 382, 69, 267, 21467, 999968
422, 397, 97, 312, 30511, 999968
423, 384, 68, 289, 33616, 999968
424, 388, 74, 343, 22358, 999968
425, 377, 75, 266, 22424, 999969
426, 380, 64, 269, 23772, 999967
427, 383, 64, 267, 22401, 999967
428, 388, 66, 270, 21325, 999969
429, 383, 66, 271, 22278, 999968
430, 388, 68, 268, 22474, 999968
431, 381, 65, 268, 22833, 999969
432, 385, 66, 272, 22343, 999969
433, 379, 67, 335, 21942, 999969
434, 381, 80, 273, 22245, 999969
435, 375, 66, 280, 23475, 999970
436, 384, 86, 273, 22061, 999968
437, 381, 107, 17190, 21925, 999969
